Team,Player,Week,Rank,Expected_Points,Actual_Points,Difference
Couv Reigning Champ,Javonte Williams,3,61,238.99,42,-196.99
Couv Reigning Champ,Michael Pittman Jr.,3,18,236.16,138.8,-97.36
Couv Reigning Champ,Jaylen Waddle,3,6,218.23,174.5,-43.73
Couv Reigning Champ,Kyler Murray,3,8,314,174.62,-139.38
Couv Reigning Champ,Chris Godwin,3,39,198.2,102,-96.2
Couv Reigning Champ,Rashod Bateman,3,80,197.96,53.5,-144.46
Couv Reigning Champ,Melvin Gordon III,3,36,144.72,87.1,-57.62
Couv Reigning Champ,Christian Kirk,3,9,200.01,161.1,-38.91
Couv Reigning Champ,Alexander Mattison,3,56,109.64,51.3,-58.34
Couv Reigning Champ,Ravens D/ST,3,7,119.59,83,-36.59
Couv Reigning Champ,Nyheim Hines,3,51,144.64,54.5,-90.14
Couv Reigning Champ,Tyler Higbee,3,9,130.34,91,-39.34
Couv Reigning Champ,Ryan Succop,3,7,130.21,88,-42.21
Couv Reigning Champ,Eagles D/ST,3,3,121.78,99,-22.78
Couv Reigning Champ,Rachaad White,3,48,95.97,59.7,-36.27
Gorilla Guys,Derrick Henry,3,2,264.47,203.06,-61.41
Gorilla Guys,Joe Mixon,3,7,258.91,180.9,-78.01
Gorilla Guys,Keenan Allen,3,121,237.62,26.1,-211.52
Gorilla Guys,Kyle Pitts,3,18,197.64,75.6,-122.04
Gorilla Guys,Diontae Johnson,3,42,218.19,100.9,-117.29
Gorilla Guys,Jalen Hurts,3,3,318.51,240.28,-78.23
Gorilla Guys,Amon-Ra St. Brown,3,15,208.86,140.8,-68.06
Gorilla Guys,JuJu Smith-Schuster,3,27,197.1,117.5,-79.6
Gorilla Guys,Tony Pollard,3,10,177.23,163.4,-13.83
Gorilla Guys,DeAndre Hopkins,3,37,150.41,105.7,-44.71
Gorilla Guys,Jamaal Williams,3,13,123.09,153.5,30.41
Gorilla Guys,Saints D/ST,3,18,127.9,53,-74.9
Gorilla Guys,Matt Gay,3,23,147.81,64,-83.81
Gorilla Guys,Darrell Henderson Jr.,3,44,195.14,73.5,-121.64
Gorilla Guys,Robbie Anderson,3,102,157.03,38.2,-118.83
Gorilla Guys,Jahan Dotson,3,74,159.03,57.2,-101.83
Gorilla Guys,Rams D/ST,3,20,82.21,50,-32.21
My Team  A Bust,Austin Ekeler,3,1,284.73,230.1,-54.63
My Team  A Bust,Mark Andrews,3,2,235.05,133.8,-101.25
My Team  A Bust,Saquon Barkley,3,6,227.77,185.3,-42.47
My Team  A Bust,A.J. Brown,3,8,220.85,161.5,-59.35
My Team  A Bust,Lamar Jackson,3,6,316.41,211.68,-104.73
My Team  A Bust,Jerry Jeudy,3,48,212.2,93,-119.2
My Team  A Bust,AJ Dillon,3,38,168.75,80.6,-88.15
My Team  A Bust,Michael Thomas,3,84,206.58,51.1,-155.48
My Team  A Bust,Clyde Edwards-Helaire,3,30,190.6,98.3,-92.3
My Team  A Bust,Kenneth Walker III,3,18,126.57,129,2.43
My Team  A Bust,Dameon Pierce,3,17,183.65,137.5,-46.15
My Team  A Bust,Treylon Burks,3,86,163.84,47.6,-116.24
My Team  A Bust,Michael Carter,3,29,150.53,98.3,-52.23
My Team  A Bust,Gus Edwards,3,74,84.01,25.1,-58.91
My Team  A Bust,Tyler Bass,3,1,131.58,100,-31.58
My Team  A Bust,Jakobi Meyers,3,31,173.92,111.8,-62.12
My Team  A Bust,Buccaneers D/ST,3,9,124.63,72,-52.63
No Nyugen Will Win,Najee Harris,3,20,265.48,124.96,-140.52
No Nyugen Will Win,Ja'Marr Chase,3,14,276.17,141.7,-134.47
No Nyugen Will Win,Ezekiel Elliott,3,32,214.2,95.2,-119
No Nyugen Will Win,J.K. Dobbins,3,64,214.3,34.2,-180.1
No Nyugen Will Win,Travis Etienne Jr.,3,16,205.01,138.7,-66.31
No Nyugen Will Win,Antonio Gibson,3,15,181.26,139.8,-41.46
No Nyugen Will Win,Darnell Mooney,3,41,212.18,101.5,-110.68
No Nyugen Will Win,T.J. Hockenson,3,3,168.03,121.4,-46.63
No Nyugen Will Win,Garrett Wilson,3,32,175.31,109.8,-65.51
No Nyugen Will Win,Chris Olave,3,11,174.45,145,-29.45
No Nyugen Will Win,49ers D/ST,3,5,112.33,88,-24.33
No Nyugen Will Win,James Robinson,3,35,151.13,87.6,-63.53
No Nyugen Will Win,Curtis Samuel,3,19,133.02,134.5,1.48
No Nyugen Will Win,Younghoe Koo,3,6,125.78,89,-36.78
No Nyugen Will Win,Brian Robinson Jr.,3,52,102.87,52.9,-49.97
No Nyugen Will Win,Tua Tagovailoa,3,14,271.03,160.1,-110.93
No Nyugen Will Win,Gerald Everett,3,15,127.63,82.4,-45.23
Eugene Tweakers,Cooper Kupp,3,5,312.91,201.4,-111.51
Eugene Tweakers,Alvin Kamara,3,14,254.82,146.6,-108.22
Eugene Tweakers,CeeDee Lamb,3,7,252.45,164.3,-88.15
Eugene Tweakers,Tee Higgins,3,17,237.31,139.2,-98.11
Eugene Tweakers,Cam Akers,3,66,146.71,31.5,-115.21
Eugene Tweakers,Darren Waller,3,39,187.71,39.5,-148.21
Eugene Tweakers,Marquise Brown,3,33,211.78,109.5,-102.28
Eugene Tweakers,Tom Brady,3,18,306.83,153.4,-153.43
Eugene Tweakers,Adam Thielen,3,35,192.17,108.2,-83.97
Eugene Tweakers,Drake London,3,38,192.77,103.9,-88.87
Eugene Tweakers,Kadarius Toney,3,120,186.18,26.5,-159.68
Eugene Tweakers,Dak Prescott,3,29,306.52,81.98,-224.54
Eugene Tweakers,Cowboys D/ST,3,2,106.49,109,2.51
Eugene Tweakers,Graham Gano,3,9,131.95,83,-48.95
Eugene Tweakers,Mike Davis,3,115,50.28,4.2,-46.08
Eugene Tweakers,Kenyan Drake,3,41,13.48,79.2,65.72
Diggy Wit it,Christian McCaffrey,3,3,309.94,201.76,-108.18
Diggy Wit it,Stefon Diggs,3,1,258.25,227.3,-30.95
Diggy Wit it,Aaron Jones,3,8,242.56,172.6,-69.96
Diggy Wit it,Mike Williams,3,36,211.44,107,-104.44
Diggy Wit it,DJ Moore,3,28,234.57,114.1,-120.47
Diggy Wit it,Courtland Sutton,3,29,210.42,113.8,-96.62
Diggy Wit it,Allen Robinson II,3,52,201.07,84.9,-116.17
Diggy Wit it,Rashaad Penny,3,53,162.93,52.2,-110.73
Diggy Wit it,Chase Edmonds,3,54,174.07,52.1,-121.97
Diggy Wit it,Daniel Carlson,3,4,139.12,95,-44.12
Diggy Wit it,Marquez Valdes-Scantling,3,55,172.06,78.6,-93.46
Diggy Wit it,Jameson Williams,3,0,92.61,0,-92.61
Diggy Wit it,Jeff Wilson Jr.,3,23,50.21,112.4,62.19
Diggy Wit it,Hayden Hurst,3,13,130.09,85.1,-44.99
Diggy Wit it,Carson Wentz,3,27,253.68,97.46,-156.22
Diggy Wit it,Browns D/ST,3,28,107.29,30,-77.29
Diggy Wit it,Evan Engram,3,17,124.37,79.2,-45.17
P-Town CASH KEVIN,Jonathan Taylor,3,24,316.99,112,-204.99
P-Town CASH KEVIN,Tyreek Hill,3,2,246.45,222.3,-24.15
P-Town CASH KEVIN,Travis Kelce,3,1,227.3,223,-4.3
P-Town CASH KEVIN,Patrick Mahomes,3,1,352.02,262.4,-89.62
P-Town CASH KEVIN,Terry McLaurin,3,13,221.94,142.4,-79.54
P-Town CASH KEVIN,Kareem Hunt,3,31,182.53,95.5,-87.03
P-Town CASH KEVIN,Hunter Renfrow,3,102,199.03,38.2,-160.83
P-Town CASH KEVIN,DeVonta Smith,3,23,192.23,123.9,-68.33
P-Town CASH KEVIN,Rhamondre Stevenson,3,9,182.24,163.7,-18.54
P-Town CASH KEVIN,Joe Burrow,3,5,294.45,226.2,-68.25
P-Town CASH KEVIN,Chase Claypool,3,51,180.36,87.24,-93.12
P-Town CASH KEVIN,Skyy Moore,3,123,134.97,24.9,-110.07
P-Town CASH KEVIN,Pat Freiermuth,3,6,144.17,98.2,-45.97
P-Town CASH KEVIN,Packers D/ST,3,16,135.55,59,-76.55
P-Town CASH KEVIN,Brandon McManus,3,16,139.43,77,-62.43
P-Town CASH KEVIN,Julio Jones,3,96,130.5,42.5,-88
I dont know what im doing,Leonard Fournette,4,12,258.74,154.7,-104.04
I dont know what im doing,Davante Adams,4,3,253.59,216.4,-37.19
I dont know what im doing,Mike Evans,4,20,223.32,134.1,-89.22
I dont know what im doing,Brandin Cooks,4,49,215.1,91.6,-123.5
I dont know what im doing,Dalton Schultz,4,23,176.66,60.9,-115.76
I dont know what im doing,Devin Singletary,4,21,188.72,119.8,-68.92
I dont know what im doing,Amari Cooper,4,10,198.97,159.8,-39.17
I dont know what im doing,Cordarrelle Patterson,4,34,167.88,92,-75.88
I dont know what im doing,Zach Ertz,4,4,148.18,115.6,-32.58
I dont know what im doing,Evan McPherson,4,11,148.47,81,-67.47
I dont know what im doing,Patriots D/ST,4,1,90.39,111,20.61
I dont know what im doing,J.D. McKissic,4,50,144.62,55.8,-88.82
I dont know what im doing,Allen Lazard,4,25,172.56,120.9,-51.66
I dont know what im doing,Joe Burrow,4,5,294.45,226.2,-68.25
I dont know what im doing,Gerald Everett,4,15,127.63,82.4,-45.23
I dont know what im doing,Mack Hollins,4,45,80.71,94.96,14.25
Just-in-N-out Drive thru,Justin Jefferson,4,4,287.8,215.52,-72.28
Just-in-N-out Drive thru,Justin Herbert,4,11,328.04,165.2,-162.84
Just-in-N-out Drive thru,Nick Chubb,4,5,216.04,187.9,-28.14
Just-in-N-out Drive thru,George Kittle,4,7,169.59,97.4,-72.19
Just-in-N-out Drive thru,Josh Jacobs,4,4,210.51,194.1,-16.41
Just-in-N-out Drive thru,DK Metcalf,4,22,212.43,126.1,-86.33
Just-in-N-out Drive thru,Miles Sanders,4,19,184.65,128,-56.65
Just-in-N-out Drive thru,Nick Folk,4,7,141.25,88,-53.25
Just-in-N-out Drive thru,Brandon Aiyuk,4,16,184.92,139.4,-45.52
Just-in-N-out Drive thru,Bills D/ST,4,6,143.85,85,-58.85
Just-in-N-out Drive thru,Derek Carr,4,17,260.61,154.1,-106.51
Just-in-N-out Drive thru,Raheem Mostert,4,25,130.43,107.2,-23.23
Just-in-N-out Drive thru,David Njoku,4,14,131.43,82.9,-48.53
Just-in-N-out Drive thru,Greg Dortch,4,58,6.15,76.8,70.65
Just-in-N-out Drive thru,Richie James,4,87,6.32,47.5,41.18
Just-in-N-out Drive thru,Joshua Palmer,4,30,150.93,113,-37.93
Cougar Town Zach Wilson,Deebo Samuel,4,21,261.46,130,-131.46
Cougar Town Zach Wilson,Josh Allen,4,2,374.63,247.5,-127.13
Cougar Town Zach Wilson,James Conner,4,28,240.04,98.7,-141.34
Cougar Town Zach Wilson,David Montgomery,4,27,219.92,104.5,-115.42
Cougar Town Zach Wilson,Elijah Mitchell,4,84,197.42,19.8,-177.62
Cougar Town Zach Wilson,Gabe Davis,4,26,207.23,120.2,-87.03
Cougar Town Zach Wilson,Justin Tucker,4,3,144.4,97,-47.4
Cougar Town Zach Wilson,Dallas Goedert,4,5,150.33,113.4,-36.93
Cougar Town Zach Wilson,Damien Harris,4,43,174.55,75.2,-99.35
Cougar Town Zach Wilson,Elijah Moore,4,100,198.34,39.6,-158.74
Cougar Town Zach Wilson,Dawson Knox,4,20,146.56,74,-72.56
Cougar Town Zach Wilson,DJ Chark,4,125,146.04,22.8,-123.24
Cougar Town Zach Wilson,Steelers D/ST,4,27,108.82,37,-71.82
Cougar Town Zach Wilson,Tyler Lockett,4,12,197.01,144,-53.01
Cougar Town Zach Wilson,Matthew Stafford,4,25,285.7,108.38,-177.32
Cougar Town Zach Wilson,Darrel Williams,4,82,69.6,21.1,-48.5
Cougar Town Zach Wilson,Logan Thomas,4,34,115.61,44.3,-71.31
Couv Reigning Champ,Dalvin Cook,4,11,258.49,156.5,-101.99
Couv Reigning Champ,D'Andre Swift,4,33,253.66,93.5,-160.16
Couv Reigning Champ,Javonte Williams,4,61,238.99,42,-196.99
Couv Reigning Champ,Michael Pittman Jr.,4,18,236.16,138.8,-97.36
Couv Reigning Champ,Jaylen Waddle,4,6,218.23,174.5,-43.73
Couv Reigning Champ,Kyler Murray,4,8,314,174.62,-139.38
Couv Reigning Champ,Chris Godwin,4,39,198.2,102,-96.2
Couv Reigning Champ,Rashod Bateman,4,80,197.96,53.5,-144.46
Couv Reigning Champ,Melvin Gordon III,4,36,144.72,87.1,-57.62
Couv Reigning Champ,Christian Kirk,4,9,200.01,161.1,-38.91
Couv Reigning Champ,Alexander Mattison,4,56,109.64,51.3,-58.34
Couv Reigning Champ,Nyheim Hines,4,51,144.64,54.5,-90.14
Couv Reigning Champ,Tyler Higbee,4,9,130.34,91,-39.34
Couv Reigning Champ,Ryan Succop,4,7,130.21,88,-42.21
Couv Reigning Champ,Eagles D/ST,4,3,121.78,99,-22.78
Couv Reigning Champ,Rachaad White,4,48,95.97,59.7,-36.27
Couv Reigning Champ,Rondale Moore,4,50,130.69,87.9,-42.79
Gorilla Guys,Derrick Henry,4,2,264.47,203.06,-61.41
Gorilla Guys,Joe Mixon,4,7,258.91,180.9,-78.01
Gorilla Guys,Keenan Allen,4,121,237.62,26.1,-211.52
Gorilla Guys,Kyle Pitts,4,18,197.64,75.6,-122.04
Gorilla Guys,Diontae Johnson,4,42,218.19,100.9,-117.29
Gorilla Guys,Jalen Hurts,4,3,318.51,240.28,-78.23
Gorilla Guys,Amon-Ra St. Brown,4,15,208.86,140.8,-68.06
Gorilla Guys,JuJu Smith-Schuster,4,27,197.1,117.5,-79.6
Gorilla Guys,Tony Pollard,4,10,177.23,163.4,-13.83
Gorilla Guys,DeAndre Hopkins,4,37,150.41,105.7,-44.71
Gorilla Guys,Jamaal Williams,4,13,123.09,153.5,30.41
Gorilla Guys,Saints D/ST,4,18,127.9,53,-74.9
Gorilla Guys,Matt Gay,4,23,147.81,64,-83.81
Gorilla Guys,Darrell Henderson Jr.,4,44,195.14,73.5,-121.64
Gorilla Guys,Robbie Anderson,4,102,157.03,38.2,-118.83
Gorilla Guys,Jahan Dotson,4,74,159.03,57.2,-101.83
Gorilla Guys,Rams D/ST,4,20,82.21,50,-32.21
My Team  A Bust,Austin Ekeler,4,1,284.73,230.1,-54.63
My Team  A Bust,Mark Andrews,4,2,235.05,133.8,-101.25
My Team  A Bust,Saquon Barkley,4,6,227.77,185.3,-42.47
My Team  A Bust,A.J. Brown,4,8,220.85,161.5,-59.35
My Team  A Bust,Lamar Jackson,4,6,316.41,211.68,-104.73
My Team  A Bust,Jerry Jeudy,4,48,212.2,93,-119.2
My Team  A Bust,AJ Dillon,4,38,168.75,80.6,-88.15
My Team  A Bust,Michael Thomas,4,84,206.58,51.1,-155.48
My Team  A Bust,Clyde Edwards-Helaire,4,30,190.6,98.3,-92.3
My Team  A Bust,Kenneth Walker III,4,18,126.57,129,2.43
My Team  A Bust,Dameon Pierce,4,17,183.65,137.5,-46.15
My Team  A Bust,Treylon Burks,4,86,163.84,47.6,-116.24
My Team  A Bust,Michael Carter,4,29,150.53,98.3,-52.23
My Team  A Bust,Gus Edwards,4,74,84.01,25.1,-58.91
My Team  A Bust,Tyler Bass,4,1,131.58,100,-31.58
My Team  A Bust,Buccaneers D/ST,4,9,124.63,72,-52.63
My Team  A Bust,Romeo Doubs,4,54,120.19,79.5,-40.69
No Nyugen Will Win,Najee Harris,4,20,265.48,124.96,-140.52
No Nyugen Will Win,Ja'Marr Chase,4,14,276.17,141.7,-134.47
No Nyugen Will Win,Ezekiel Elliott,4,32,214.2,95.2,-119
No Nyugen Will Win,J.K. Dobbins,4,64,214.3,34.2,-180.1
No Nyugen Will Win,Travis Etienne Jr.,4,16,205.01,138.7,-66.31
No Nyugen Will Win,Antonio Gibson,4,15,181.26,139.8,-41.46
No Nyugen Will Win,T.J. Hockenson,4,3,168.03,121.4,-46.63
No Nyugen Will Win,Garrett Wilson,4,32,175.31,109.8,-65.51
No Nyugen Will Win,Chris Olave,4,11,174.45,145,-29.45
No Nyugen Will Win,49ers D/ST,4,5,112.33,88,-24.33
No Nyugen Will Win,James Robinson,4,35,151.13,87.6,-63.53
No Nyugen Will Win,Curtis Samuel,4,19,133.02,134.5,1.48
No Nyugen Will Win,Younghoe Koo,4,6,125.78,89,-36.78
No Nyugen Will Win,Brian Robinson Jr.,4,52,102.87,52.9,-49.97
No Nyugen Will Win,Tua Tagovailoa,4,14,271.03,160.1,-110.93
No Nyugen Will Win,Khalil Herbert,4,26,108.93,106.5,-2.43
No Nyugen Will Win,Tyler Conklin,4,12,86,86.2,0.2
Eugene Tweakers,Cooper Kupp,4,5,312.91,201.4,-111.51
Eugene Tweakers,Alvin Kamara,4,14,254.82,146.6,-108.22
Eugene Tweakers,CeeDee Lamb,4,7,252.45,164.3,-88.15
Eugene Tweakers,Tee Higgins,4,17,237.31,139.2,-98.11
Eugene Tweakers,Cam Akers,4,66,146.71,31.5,-115.21
Eugene Tweakers,Darren Waller,4,39,187.71,39.5,-148.21
Eugene Tweakers,Marquise Brown,4,33,211.78,109.5,-102.28
Eugene Tweakers,Tom Brady,4,18,306.83,153.4,-153.43
Eugene Tweakers,Adam Thielen,4,35,192.17,108.2,-83.97
Eugene Tweakers,Drake London,4,38,192.77,103.9,-88.87
Eugene Tweakers,Kadarius Toney,4,120,186.18,26.5,-159.68
Eugene Tweakers,Cowboys D/ST,4,2,106.49,109,2.51
Eugene Tweakers,Graham Gano,4,9,131.95,83,-48.95
Eugene Tweakers,Mike Davis,4,115,50.28,4.2,-46.08
Eugene Tweakers,Kenyan Drake,4,41,13.48,79.2,65.72
Eugene Tweakers,Chargers D/ST,4,28,105.45,30,-75.45
Diggy Wit it,Christian McCaffrey,4,3,309.94,201.76,-108.18
Diggy Wit it,Stefon Diggs,4,1,258.25,227.3,-30.95
Diggy Wit it,Aaron Jones,4,8,242.56,172.6,-69.96
Diggy Wit it,Mike Williams,4,36,211.44,107,-104.44
Diggy Wit it,DJ Moore,4,28,234.57,114.1,-120.47
Diggy Wit it,Courtland Sutton,4,29,210.42,113.8,-96.62
Diggy Wit it,Allen Robinson II,4,52,201.07,84.9,-116.17
Diggy Wit it,Rashaad Penny,4,53,162.93,52.2,-110.73
Diggy Wit it,Chase Edmonds,4,54,174.07,52.1,-121.97
Diggy Wit it,Daniel Carlson,4,4,139.12,95,-44.12
Diggy Wit it,Jameson Williams,4,0,92.61,0,-92.61
Diggy Wit it,Jeff Wilson Jr.,4,23,50.21,112.4,62.19
Diggy Wit it,Browns D/ST,4,28,107.29,30,-77.29
Diggy Wit it,Evan Engram,4,17,124.37,79.2,-45.17
Diggy Wit it,Zay Jones,4,44,109.2,96.8,-12.4
Diggy Wit it,Jared Goff,4,20,236.35,147.38,-88.97
Diggy Wit it,Robert Tonyan,4,16,122.08,81.2,-40.88
P-Town CASH KEVIN,Jonathan Taylor,4,24,316.99,112,-204.99
P-Town CASH KEVIN,Tyreek Hill,4,2,246.45,222.3,-24.15
P-Town CASH KEVIN,Travis Kelce,4,1,227.3,223,-4.3
P-Town CASH KEVIN,Patrick Mahomes,4,1,352.02,262.4,-89.62
P-Town CASH KEVIN,Terry McLaurin,4,13,221.94,142.4,-79.54
P-Town CASH KEVIN,Kareem Hunt,4,31,182.53,95.5,-87.03
P-Town CASH KEVIN,Hunter Renfrow,4,102,199.03,38.2,-160.83
P-Town CASH KEVIN,DeVonta Smith,4,23,192.23,123.9,-68.33
P-Town CASH KEVIN,Rhamondre Stevenson,4,9,182.24,163.7,-18.54
P-Town CASH KEVIN,Chase Claypool,4,51,180.36,87.24,-93.12
P-Town CASH KEVIN,Pat Freiermuth,4,6,144.17,98.2,-45.97
P-Town CASH KEVIN,Packers D/ST,4,16,135.55,59,-76.55
P-Town CASH KEVIN,Brandon McManus,4,16,139.43,77,-62.43
P-Town CASH KEVIN,Julio Jones,4,96,130.5,42.5,-88
P-Town CASH KEVIN,Russell Wilson,4,21,302.42,127.08,-175.34
P-Town CASH KEVIN,Breece Hall,4,22,210.66,115.1,-95.56
I dont know what im doing,Leonard Fournette,5,12,258.74,154.7,-104.04
I dont know what im doing,Davante Adams,5,3,253.59,216.4,-37.19
I dont know what im doing,Mike Evans,5,20,223.32,134.1,-89.22
I dont know what im doing,Brandin Cooks,5,49,215.1,91.6,-123.5
I dont know what im doing,Dalton Schultz,5,23,176.66,60.9,-115.76
I dont know what im doing,Devin Singletary,5,21,188.72,119.8,-68.92
I dont know what im doing,Amari Cooper,5,10,198.97,159.8,-39.17
I dont know what im doing,Cordarrelle Patterson,5,34,167.88,92,-75.88
I dont know what im doing,Zach Ertz,5,4,148.18,115.6,-32.58
I dont know what im doing,Evan McPherson,5,11,148.47,81,-67.47
I dont know what im doing,J.D. McKissic,5,50,144.62,55.8,-88.82
I dont know what im doing,Allen Lazard,5,25,172.56,120.9,-51.66
I dont know what im doing,Joe Burrow,5,5,294.45,226.2,-68.25
I dont know what im doing,Gerald Everett,5,15,127.63,82.4,-45.23
I dont know what im doing,Mack Hollins,5,45,80.71,94.96,14.25
I dont know what im doing,Buccaneers D/ST,5,9,124.63,72,-52.63
Just-in-N-out Drive thru,Justin Jefferson,5,4,287.8,215.52,-72.28
Just-in-N-out Drive thru,Justin Herbert,5,11,328.04,165.2,-162.84
Just-in-N-out Drive thru,Nick Chubb,5,5,216.04,187.9,-28.14
Just-in-N-out Drive thru,George Kittle,5,7,169.59,97.4,-72.19
Just-in-N-out Drive thru,Josh Jacobs,5,4,210.51,194.1,-16.41
Just-in-N-out Drive thru,DK Metcalf,5,22,212.43,126.1,-86.33
Just-in-N-out Drive thru,Miles Sanders,5,19,184.65,128,-56.65
Just-in-N-out Drive thru,Nick Folk,5,7,141.25,88,-53.25
Just-in-N-out Drive thru,Brandon Aiyuk,5,16,184.92,139.4,-45.52
Just-in-N-out Drive thru,Bills D/ST,5,6,143.85,85,-58.85
Just-in-N-out Drive thru,Derek Carr,5,17,260.61,154.1,-106.51
Just-in-N-out Drive thru,Raheem Mostert,5,25,130.43,107.2,-23.23
Just-in-N-out Drive thru,David Njoku,5,14,131.43,82.9,-48.53
Just-in-N-out Drive thru,Greg Dortch,5,58,6.15,76.8,70.65
Just-in-N-out Drive thru,Corey Davis,5,67,121.51,66.1,-55.41
Just-in-N-out Drive thru,Will Dissly,5,21,48.08,69.8,21.72
Cougar Town Zach Wilson,Deebo Samuel,5,21,261.46,130,-131.46
Cougar Town Zach Wilson,Josh Allen,5,2,374.63,247.5,-127.13
Cougar Town Zach Wilson,James Conner,5,28,240.04,98.7,-141.34
Cougar Town Zach Wilson,David Montgomery,5,27,219.92,104.5,-115.42
Cougar Town Zach Wilson,Elijah Mitchell,5,84,197.42,19.8,-177.62
Cougar Town Zach Wilson,Gabe Davis,5,26,207.23,120.2,-87.03
Cougar Town Zach Wilson,Justin Tucker,5,3,144.4,97,-47.4
Cougar Town Zach Wilson,Dallas Goedert,5,5,150.33,113.4,-36.93
Cougar Town Zach Wilson,Damien Harris,5,43,174.55,75.2,-99.35
Cougar Town Zach Wilson,Elijah Moore,5,100,198.34,39.6,-158.74
Cougar Town Zach Wilson,Dawson Knox,5,20,146.56,74,-72.56
Cougar Town Zach Wilson,DJ Chark,5,125,146.04,22.8,-123.24
Cougar Town Zach Wilson,Tyler Lockett,5,12,197.01,144,-53.01
Cougar Town Zach Wilson,Matthew Stafford,5,25,285.7,108.38,-177.32
Cougar Town Zach Wilson,Logan Thomas,5,34,115.61,44.3,-71.31
Cougar Town Zach Wilson,Broncos D/ST,5,11,86.8,67,-19.8
Cougar Town Zach Wilson,Robert Woods,5,66,180.44,67.5,-112.94
Couv Reigning Champ,Dalvin Cook,5,11,258.49,156.5,-101.99
Couv Reigning Champ,D'Andre Swift,5,33,253.66,93.5,-160.16
Couv Reigning Champ,Michael Pittman Jr.,5,18,236.16,138.8,-97.36
Couv Reigning Champ,Jaylen Waddle,5,6,218.23,174.5,-43.73
Couv Reigning Champ,Kyler Murray,5,8,314,174.62,-139.38
Couv Reigning Champ,Chris Godwin,5,39,198.2,102,-96.2
Couv Reigning Champ,Rashod Bateman,5,80,197.96,53.5,-144.46
Couv Reigning Champ,Melvin Gordon III,5,36,144.72,87.1,-57.62
Couv Reigning Champ,Christian Kirk,5,9,200.01,161.1,-38.91
Couv Reigning Champ,Alexander Mattison,5,56,109.64,51.3,-58.34
Couv Reigning Champ,Nyheim Hines,5,51,144.64,54.5,-90.14
Couv Reigning Champ,Tyler Higbee,5,9,130.34,91,-39.34
Couv Reigning Champ,Ryan Succop,5,7,130.21,88,-42.21
Couv Reigning Champ,Eagles D/ST,5,3,121.78,99,-22.78
Couv Reigning Champ,Rachaad White,5,48,95.97,59.7,-36.27
Couv Reigning Champ,Rondale Moore,5,50,130.69,87.9,-42.79
Gorilla Guys,Derrick Henry,5,2,264.47,203.06,-61.41
Gorilla Guys,Joe Mixon,5,7,258.91,180.9,-78.01
Gorilla Guys,Keenan Allen,5,121,237.62,26.1,-211.52
Gorilla Guys,Kyle Pitts,5,18,197.64,75.6,-122.04
Gorilla Guys,Diontae Johnson,5,42,218.19,100.9,-117.29
Gorilla Guys,Jalen Hurts,5,3,318.51,240.28,-78.23
Gorilla Guys,Amon-Ra St. Brown,5,15,208.86,140.8,-68.06
Gorilla Guys,JuJu Smith-Schuster,5,27,197.1,117.5,-79.6
Gorilla Guys,Tony Pollard,5,10,177.23,163.4,-13.83
Gorilla Guys,DeAndre Hopkins,5,37,150.41,105.7,-44.71
Gorilla Guys,Jamaal Williams,5,13,123.09,153.5,30.41
Gorilla Guys,Saints D/ST,5,18,127.9,53,-74.9
Gorilla Guys,Matt Gay,5,23,147.81,64,-83.81
Gorilla Guys,Darrell Henderson Jr.,5,44,195.14,73.5,-121.64
Gorilla Guys,Robbie Anderson,5,102,157.03,38.2,-118.83
Gorilla Guys,Jahan Dotson,5,74,159.03,57.2,-101.83
Gorilla Guys,Tyler Conklin,5,12,86,86.2,0.2
My Team  A Bust,Austin Ekeler,5,1,284.73,230.1,-54.63
My Team  A Bust,Mark Andrews,5,2,235.05,133.8,-101.25
My Team  A Bust,Saquon Barkley,5,6,227.77,185.3,-42.47
My Team  A Bust,A.J. Brown,5,8,220.85,161.5,-59.35
My Team  A Bust,Lamar Jackson,5,6,316.41,211.68,-104.73
My Team  A Bust,Jerry Jeudy,5,48,212.2,93,-119.2
My Team  A Bust,AJ Dillon,5,38,168.75,80.6,-88.15
My Team  A Bust,Michael Thomas,5,84,206.58,51.1,-155.48
My Team  A Bust,Clyde Edwards-Helaire,5,30,190.6,98.3,-92.3
My Team  A Bust,Kenneth Walker III,5,18,126.57,129,2.43
My Team  A Bust,Dameon Pierce,5,17,183.65,137.5,-46.15
My Team  A Bust,Gus Edwards,5,74,84.01,25.1,-58.91
My Team  A Bust,Tyler Bass,5,1,131.58,100,-31.58
My Team  A Bust,Romeo Doubs,5,54,120.19,79.5,-40.69
My Team  A Bust,Tyler Allgeier,5,39,83.39,80.5,-2.89
My Team  A Bust,Vikings D/ST,5,19,82.3,51,-31.3
My Team  A Bust,Isiah Pacheco,5,58,66.3,46.9,-19.4
No Nyugen Will Win,Najee Harris,5,20,265.48,124.96,-140.52
No Nyugen Will Win,Ja'Marr Chase,5,14,276.17,141.7,-134.47
No Nyugen Will Win,Ezekiel Elliott,5,32,214.2,95.2,-119
No Nyugen Will Win,J.K. Dobbins,5,64,214.3,34.2,-180.1
No Nyugen Will Win,Travis Etienne Jr.,5,16,205.01,138.7,-66.31
No Nyugen Will Win,Antonio Gibson,5,15,181.26,139.8,-41.46
No Nyugen Will Win,T.J. Hockenson,5,3,168.03,121.4,-46.63
No Nyugen Will Win,Garrett Wilson,5,32,175.31,109.8,-65.51
