Team,Player,Week,Rank,Expected_Points,Actual_Points,Difference
Cougar Town Zach Wilson,Elijah Mitchell,1,84,197.42,19.8,-177.62
Cougar Town Zach Wilson,Gabe Davis,1,26,207.23,120.2,-87.03
Cougar Town Zach Wilson,Justin Tucker,1,3,144.4,97,-47.4
Cougar Town Zach Wilson,Dallas Goedert,1,5,150.33,113.4,-36.93
Cougar Town Zach Wilson,Damien Harris,1,43,174.55,75.2,-99.35
Cougar Town Zach Wilson,Elijah Moore,1,100,198.34,39.6,-158.74
Cougar Town Zach Wilson,Dawson Knox,1,20,146.56,74,-72.56
Cougar Town Zach Wilson,DJ Chark,1,125,146.04,22.8,-123.24
Cougar Town Zach Wilson,Steelers D/ST,1,27,108.82,37,-71.82
Cougar Town Zach Wilson,Noah Fant,1,22,139.83,66.6,-73.23
Cougar Town Zach Wilson,Brian Robinson Jr.,1,52,102.87,52.9,-49.97
Cougar Town Zach Wilson,Kirk Cousins,1,15,269.17,155.44,-113.73
Couv Reigning Champ,Dalvin Cook,1,11,258.49,156.5,-101.99
Couv Reigning Champ,D'Andre Swift,1,33,253.66,93.5,-160.16
Couv Reigning Champ,Javonte Williams,1,61,238.99,42,-196.99
Couv Reigning Champ,Michael Pittman Jr.,1,18,236.16,138.8,-97.36
Couv Reigning Champ,Jaylen Waddle,1,6,218.23,174.5,-43.73
Couv Reigning Champ,Kyler Murray,1,8,314,174.62,-139.38
Couv Reigning Champ,Chris Godwin,1,39,198.2,102,-96.2
Couv Reigning Champ,Rashod Bateman,1,80,197.96,53.5,-144.46
Couv Reigning Champ,Melvin Gordon III,1,36,144.72,87.1,-57.62
Couv Reigning Champ,Christian Kirk,1,9,200.01,161.1,-38.91
Couv Reigning Champ,Mike Gesicki,1,19,135.9,74.9,-61
Couv Reigning Champ,Alexander Mattison,1,56,109.64,51.3,-58.34
Couv Reigning Champ,Ravens D/ST,1,7,119.59,83,-36.59
Couv Reigning Champ,Nyheim Hines,1,51,144.64,54.5,-90.14
Couv Reigning Champ,Harrison Butker,1,29,145.15,47,-98.15
Couv Reigning Champ,Rondale Moore,1,50,130.69,87.9,-42.79
Couv Reigning Champ,Robert Tonyan,1,16,122.08,81.2,-40.88
Gorilla Guys,Derrick Henry,1,2,264.47,203.06,-61.41
Gorilla Guys,Joe Mixon,1,7,258.91,180.9,-78.01
Gorilla Guys,Keenan Allen,1,121,237.62,26.1,-211.52
Gorilla Guys,Kyle Pitts,1,18,197.64,75.6,-122.04
Gorilla Guys,Diontae Johnson,1,42,218.19,100.9,-117.29
Gorilla Guys,Jalen Hurts,1,3,318.51,240.28,-78.23
Gorilla Guys,Amon-Ra St. Brown,1,15,208.86,140.8,-68.06
Gorilla Guys,JuJu Smith-Schuster,1,27,197.1,117.5,-79.6
Gorilla Guys,Tony Pollard,1,10,177.23,163.4,-13.83
Gorilla Guys,DeAndre Hopkins,1,37,150.41,105.7,-44.71
Gorilla Guys,Jamaal Williams,1,13,123.09,153.5,30.41
Gorilla Guys,Saints D/ST,1,18,127.9,53,-74.9
Gorilla Guys,Matt Gay,1,23,147.81,64,-83.81
Gorilla Guys,Darrell Henderson Jr.,1,44,195.14,73.5,-121.64
Gorilla Guys,Robbie Anderson,1,102,157.03,38.2,-118.83
Gorilla Guys,Jahan Dotson,1,74,159.03,57.2,-101.83
My Team  A Bust,Austin Ekeler,1,1,284.73,230.1,-54.63
My Team  A Bust,Mark Andrews,1,2,235.05,133.8,-101.25
My Team  A Bust,Saquon Barkley,1,6,227.77,185.3,-42.47
My Team  A Bust,A.J. Brown,1,8,220.85,161.5,-59.35
My Team  A Bust,Lamar Jackson,1,6,316.41,211.68,-104.73
My Team  A Bust,Jerry Jeudy,1,48,212.2,93,-119.2
My Team  A Bust,AJ Dillon,1,38,168.75,80.6,-88.15
My Team  A Bust,Michael Thomas,1,84,206.58,51.1,-155.48
My Team  A Bust,Clyde Edwards-Helaire,1,30,190.6,98.3,-92.3
My Team  A Bust,Allen Lazard,1,25,172.56,120.9,-51.66
My Team  A Bust,Kenneth Walker III,1,18,126.57,129,2.43
My Team  A Bust,Dameon Pierce,1,17,183.65,137.5,-46.15
My Team  A Bust,Treylon Burks,1,86,163.84,47.6,-116.24
My Team  A Bust,Michael Carter,1,29,150.53,98.3,-52.23
