,Player,Expected_Points,Actual_Points,Rank,NFLTeam,Difference
111,Christian Watson,108.76,80.5,53,GB,-28.260000000000005
90,Jason Myers,124.21,95.0,4,SEA,-29.209999999999994
104,Chris Olave,174.45,145.0,11,NO,-29.44999999999999
95,Brett Maher,129.42,99.0,2,DAL,-30.419999999999987
130,Stefon Diggs,258.25,227.3,1,BUF,-30.94999999999999
91,Isaiah Likely,82.16,50.6,28,BAL,-31.559999999999995
11,Tyler Bass,131.58,100.0,1,BUF,-31.580000000000013
55,Rachaad White,95.97,59.7,48,TB,-36.269999999999996
60,Ravens D/ST,119.59,83.0,7,BAL,-36.59
107,Younghoe Koo,125.78,89.0,6,ATL,-36.78
39,Dallas Goedert,150.33,113.4,5,PHI,-36.93000000000001
1,Davante Adams,253.59,216.4,3,OAK,-37.19
57,Joshua Palmer,150.93,113.0,30,LAC,-37.93000000000001
54,Christian Kirk,200.01,161.1,9,JAX,-38.91
5,Amari Cooper,198.97,159.8,10,CLE,-39.16999999999999
126,Tyler Higbee,130.34,91.0,9,LAR,-39.34
46,Antonio Gibson,181.26,139.8,15,WSH,-41.45999999999998
161,Ryan Succop,130.21,88.0,7,TB,-42.21000000000001
82,Saquon Barkley,227.77,185.3,6,NYG,-42.47
160,Colts D/ST,108.7,66.0,12,IND,-42.7
128,Rondale Moore,130.69,87.9,50,ARI,-42.78999999999999
51,Jaylen Waddle,218.23,174.5,6,MIA,-43.72999999999999
137,Daniel Carlson,139.12,95.0,4,OAK,-44.120000000000005
28,Tyler Boyd,168.31,123.82,24,CIN,-44.49000000000001
75,DeAndre Hopkins,150.41,105.7,37,ARI,-44.709999999999994
78,Cairo Santos,121.85,77.0,16,CHI,-44.849999999999994
9,Gerald Everett,127.63,82.4,15,LAC,-45.22999999999999
24,Brandon Aiyuk,184.92,139.4,16,SF,-45.51999999999998
155,Pat Freiermuth,144.17,98.2,6,PIT,-45.969999999999985
87,Dameon Pierce,183.65,137.5,17,HOU,-46.150000000000006
102,T.J. Hockenson,168.03,121.4,3,MIN,-46.629999999999995
38,Justin Tucker,144.4,97.0,3,BAL,-47.400000000000006
109,George Pickens,147.03,98.7,43,PIT,-48.33
26,David Njoku,131.43,82.9,14,CLE,-48.53
108,Brian Robinson Jr.,102.87,52.9,52,WSH,-49.970000000000006
124,Bengals D/ST,101.48,50.0,20,CIN,-51.480000000000004
7,Allen Lazard,172.56,120.9,25,GB,-51.66
10,Michael Carter,150.53,98.3,29,NYJ,-52.230000000000004
79,Buccaneers D/ST,124.63,72.0,9,TB,-52.629999999999995
42,Tyler Lockett,197.01,144.0,12,SEA,-53.00999999999999
23,Nick Folk,141.25,88.0,7,NE,-53.25
121,Austin Ekeler,284.73,230.1,1,LAC,-54.630000000000024
64,Joey Slye,126.99,72.0,19,WSH,-54.989999999999995
22,Miles Sanders,184.65,128.0,19,PHI,-56.650000000000006
144,Cole Kmet,145.78,87.8,11,CHI,-57.980000000000004
56,Gus Edwards,84.01,25.1,74,BAL,-58.910000000000004
83,A.J. Brown,220.85,161.5,8,PHI,-59.349999999999994
31,Dolphins D/ST,105.38,46.0,24,MIA,-59.379999999999995
48,Robbie Gould,130.48,70.0,20,SF,-60.47999999999999
66,Derrick Henry,264.47,203.06,2,TEN,-61.410000000000025
45,Jakobi Meyers,173.92,111.8,31,NE,-62.11999999999999
105,James Robinson,151.13,87.6,35,NYJ,-63.53
103,Garrett Wilson,175.31,109.8,32,NYJ,-65.51
101,Travis Etienne Jr.,205.01,138.7,16,JAX,-66.31
72,Amon-Ra St. Brown,208.86,140.8,15,DET,-68.06
8,Joe Burrow,294.45,226.2,5,CIN,-68.25
152,DeVonta Smith,192.23,123.9,23,PHI,-68.32999999999998
4,Devin Singletary,188.72,119.8,21,BUF,-68.92
131,Aaron Jones,242.56,172.6,8,GB,-69.96000000000001
19,George Kittle,169.59,97.4,7,SF,-72.19
16,Justin Jefferson,287.8,215.52,4,MIN,-72.28
41,Dawson Knox,146.56,74.0,20,BUF,-72.56
122,Noah Fant,139.83,66.6,22,SEA,-73.23000000000002
6,Cordarrelle Patterson,167.88,92.0,34,ATL,-75.88
67,Joe Mixon,258.91,180.9,7,CIN,-78.01000000000002
