,Unnamed: 0,Team,Player,Average Scored Points,Average Projected Points,Position,Length of Ownership,Residual,Weight of Ownership,Weighted Residual
0,0,RightInThe McManus,Dalvin Cook,11.511764705882351,15.193529411764704,RB,17,-3.681764705882353,1.0,-3.681764705882353
1,1,RightInThe McManus,Travis Kelce,21.74705882352941,17.282941176470587,TE,17,4.464117647058828,1.0,4.464117647058828
2,2,RightInThe McManus,Terry McLaurin,11.676470588235292,12.29,WR,17,-0.6135294117647074,1.0,-0.6135294117647074
3,3,RightInThe McManus,Brandin Cooks,7.270588235294118,9.371176470588235,WR,17,-2.1005882352941176,1.0,-2.1005882352941176
4,4,RightInThe McManus,Devin Singletary,10.46470588235294,10.323529411764708,RB,17,0.141176470588233,1.0,0.141176470588233
5,5,RightInThe McManus,Amari Cooper,14.03529411764706,11.345882352941176,WR,17,2.6894117647058824,1.0,2.6894117647058824
6,6,RightInThe McManus,Russell Wilson,7.836923076923076,11.918461538461536,QB,13,-4.081538461538459,0.7647058823529411,-3.1211764705882334
7,7,RightInThe McManus,Rashaad Penny,7.720000000000001,11.586,RB,5,-3.866,0.29411764705882354,-1.137058823529412
8,8,RightInThe McManus,Ravens D/ST,9.705882352941176,5.467647058823529,D/ST,17,4.238235294117647,1.0,4.238235294117647
9,9,RightInThe McManus,Matthew Stafford,9.248,17.208000000000002,QB,5,-7.960000000000003,0.29411764705882354,-2.3411764705882363
10,10,RightInThe McManus,Skyy Moore,1.0,3.43,WR,4,-2.43,0.23529411764705882,-0.571764705882353
11,11,RightInThe McManus,Brandon McManus,6.0588235294117645,6.84,K,17,-0.7811764705882354,1.0,-0.7811764705882354
12,12,RightInThe McManus,Treylon Burks,5.582352941176471,4.691176470588236,WR,17,0.8911764705882357,1.0,0.8911764705882357
13,13,RightInThe McManus,Khalil Herbert,7.34705882352941,4.694705882352942,RB,17,2.652352941176469,1.0,2.652352941176469
14,14,RightInThe McManus,Tua Tagovailoa,11.767058823529412,14.408235294117649,QB,17,-2.641176470588237,1.0,-2.641176470588237
15,15,RightInThe McManus,Isiah Pacheco,6.514285714285713,6.161428571428571,RB,7,0.3528571428571423,0.4117647058823529,0.1452941176470586
16,16,RightInThe McManus,Irv Smith Jr.,10.7,7.73,TE,1,2.969999999999999,0.058823529411764705,0.1747058823529411
17,17,RightInThe McManus,Tyler Allgeier,9.022222222222222,7.403333333333332,RB,9,1.6188888888888897,0.5294117647058824,0.8570588235294122
18,18,RightInThe McManus,Mack Hollins,6.1,9.99,WR,4,-3.890000000000001,0.23529411764705882,-0.915294117647059
19,19,RightInThe McManus,Daniel Jones,18.01,13.645,QB,12,4.365,0.7058823529411765,3.0811764705882356
20,20,RightInThe McManus,Devin Duvernay,2.716666666666667,7.55,WR,12,-4.833333333333333,0.7058823529411765,-3.411764705882353
21,21,RightInThe McManus,Panthers D/ST,-0.5,4.355,D/ST,4,-4.855,0.23529411764705882,-1.1423529411764706
22,22,RightInThe McManus,Joey Slye,5.333333333333333,5.033333333333334,K,9,0.2999999999999989,0.5294117647058824,0.1588235294117641
23,23,RightInThe McManus,Saints D/ST,4.25,3.72,D/ST,8,0.5300000000000002,0.47058823529411764,0.24941176470588247
24,24,RightInThe McManus,Travis Homer,2.7,7.535,RB,4,-4.835,0.23529411764705882,-1.1376470588235295
25,25,Hot Chubb Time  Machine 2,Matthew Stafford,10.32,14.8,QB,1,-4.48,0.058823529411764705,-0.2635294117647059
26,26,Hot Chubb Time  Machine 2,Isiah Pacheco,8.24,7.112,RB,10,1.128,0.5882352941176471,0.6635294117647058
27,27,Hot Chubb Time  Machine 2,Alexander Mattison,3.0777777777777784,3.9577777777777774,RB,9,-0.8799999999999999,0.5294117647058824,-0.4658823529411764
28,28,Hot Chubb Time  Machine 2,Elijah Moore,3.3000000000000003,10.596666666666666,WR,3,-7.296666666666665,0.17647058823529413,-1.2876470588235291
29,29,Hot Chubb Time  Machine 2,Irv Smith Jr.,0.0,9.02,TE,1,-9.02,0.058823529411764705,-0.5305882352941176
30,30,Hot Chubb Time  Machine 2,Damien Williams,0.0571428571428571,2.46,RB,7,-2.402857142857143,0.4117647058823529,-0.9894117647058823
31,31,Hot Chubb Time  Machine 2,Derek Carr,10.706666666666663,16.563333333333333,QB,3,-5.856666666666667,0.17647058823529413,-1.033529411764706
32,32,Hot Chubb Time  Machine 2,Hunter Henry,4.0,9.11,TE,1,-5.109999999999999,0.058823529411764705,-0.3005882352941176
33,33,Hot Chubb Time  Machine 2,Justin Fields,15.037777777777778,9.115555555555554,QB,9,5.922222222222224,0.5294117647058824,3.13529411764706
34,34,Hot Chubb Time  Machine 2,Justin Jefferson,18.36705882352941,16.0,WR,17,2.367058823529412,1.0,2.367058823529412
35,35,Hot Chubb Time  Machine 2,Aaron Jones,17.094117647058823,13.507647058823526,RB,17,3.586470588235297,1.0,3.586470588235297
36,36,Hot Chubb Time  Machine 2,Nick Chubb,17.988235294117644,14.271764705882354,RB,17,3.716470588235289,1.0,3.716470588235289
37,37,Hot Chubb Time  Machine 2,Travis Etienne Jr.,10.882352941176473,11.566470588235294,RB,17,-0.6841176470588213,1.0,-0.6841176470588213
38,38,Hot Chubb Time  Machine 2,Courtland Sutton,9.71764705882353,10.69764705882353,WR,17,-0.9800000000000004,1.0,-0.9800000000000004
39,39,Hot Chubb Time  Machine 2,Darnell Mooney,7.750000000000001,10.315,WR,12,-2.5649999999999986,0.7058823529411765,-1.8105882352941167
40,40,Hot Chubb Time  Machine 2,Chase Edmonds,1.9714285714285715,8.157142857142857,RB,7,-6.185714285714285,0.4117647058823529,-2.547058823529411
41,41,Hot Chubb Time  Machine 2,Trey Lance,2.5,17.98,QB,2,-15.48,0.11764705882352941,-1.8211764705882354
42,42,Hot Chubb Time  Machine 2,Brandon Aiyuk,11.076470588235296,9.878235294117648,WR,17,1.198235294117648,1.0,1.198235294117648
43,43,Hot Chubb Time  Machine 2,George Pickens,10.982352941176472,8.583529411764706,WR,17,2.398823529411766,1.0,2.398823529411766
44,44,Hot Chubb Time  Machine 2,Darrell Henderson Jr.,5.699999999999999,7.188750000000001,RB,8,-1.4887500000000014,0.47058823529411764,-0.7005882352941183
45,45,Hot Chubb Time  Machine 2,Kenneth Gainwell,2.8,6.89,RB,4,-4.09,0.23529411764705882,-0.9623529411764705
46,46,Hot Chubb Time  Machine 2,Ryan Succop,6.333333333333333,6.528333333333333,K,12,-0.1950000000000002,0.7058823529411765,-0.13764705882352957
47,47,Hot Chubb Time  Machine 2,Broncos D/ST,7.0,7.25,D/ST,2,-0.25,0.11764705882352941,-0.029411764705882353
48,48,Hot Chubb Time  Machine 2,Gerald Everett,6.922222222222223,8.755555555555556,TE,9,-1.833333333333333,0.5294117647058824,-0.9705882352941175
49,49,Hot Chubb Time  Machine 2,Wan'Dale Robinson,5.5,3.37,WR,4,2.13,0.23529411764705882,0.5011764705882352
50,50,Hot Chubb Time  Machine 2,Isaiah McKenzie,2.9,11.91,WR,1,-9.01,0.058823529411764705,-0.53
51,51,Hot Chubb Time  Machine 2,Jaylen Warren,2.2,4.864999999999999,RB,4,-2.664999999999999,0.23529411764705882,-0.6270588235294116
52,52,Hot Chubb Time  Machine 2,Romeo Doubs,21.3,8.92,WR,1,12.38,0.058823529411764705,0.7282352941176471
53,53,Hot Chubb Time  Machine 2,Jared Goff,18.360000000000003,15.293333333333331,QB,3,3.066666666666672,0.17647058823529413,0.5411764705882363
54,54,Hot Chubb Time  Machine 2,Gus Edwards,3.0666666666666664,2.5866666666666664,RB,3,0.48,0.17647058823529413,0.08470588235294117
55,55,Hot Chubb Time  Machine 2,Eagles D/ST,6.2,5.738666666666666,D/ST,15,0.461333333333334,0.8823529411764706,0.4070588235294123
56,56,Hot Chubb Time  Machine 2,Josh Reynolds,15.2,11.6,WR,2,3.6,0.11764705882352941,0.4235294117647059
57,57,Hot Chubb Time  Machine 2,Jets D/ST,6.0,6.85,D/ST,1,-0.8499999999999996,0.058823529411764705,-0.049999999999999975
58,58,Hot Chubb Time  Machine 2,Jason Myers,12.0,7.775,K,2,4.225,0.11764705882352941,0.4970588235294117
59,59,Hot Chubb Time  Machine 2,Isaiah Likely,9.4,10.02,TE,1,-0.6199999999999992,0.058823529411764705,-0.036470588235294074
60,60,Hot Chubb Time  Machine 2,Kadarius Toney,0.0,3.5766666666666667,WR,3,-3.5766666666666667,0.17647058823529413,-0.6311764705882353
61,61,Hot Chubb Time  Machine 2,Cameron Dicker,12.0,7.25,K,3,4.75,0.17647058823529413,0.8382352941176471
62,62,Hot Chubb Time  Machine 2,Greg Dulcich,5.5875,8.54875,TE,8,-2.96125,0.47058823529411764,-1.393529411764706
63,63,Hot Chubb Time  Machine 2,Christian Watson,15.028571428571428,7.579999999999999,WR,7,7.448571428571429,0.4117647058823529,3.067058823529412
64,64,Hot Chubb Time  Machine 2,James Cook,2.5,8.73,RB,1,-6.23,0.058823529411764705,-0.36647058823529416
65,65,Hot Chubb Time  Machine 2,Taylor Heinicke,11.42,15.2,QB,1,-3.78,0.058823529411764705,-0.2223529411764706
66,66,Hot Chubb Time  Machine 2,Cole Kmet,13.2,8.78,TE,1,4.42,0.058823529411764705,0.26
67,67,Hot Chubb Time  Machine 2,Michael Gallup,6.0,10.43,WR,1,-4.43,0.058823529411764705,-0.2605882352941176
68,68,3 PP Wine,Christian McCaffrey,15.417647058823531,16.516470588235293,RB,17,-1.098823529411762,1.0,-1.098823529411762
69,69,3 PP Wine,James Conner,11.658823529411764,13.200588235294118,RB,17,-1.541764705882354,1.0,-1.541764705882354
70,70,3 PP Wine,Keenan Allen,6.188235294117647,7.288823529411765,WR,17,-1.1005882352941176,1.0,-1.1005882352941176
71,71,3 PP Wine,Josh Allen,23.227058823529408,21.22176470588235,QB,17,2.0052941176470576,1.0,2.0052941176470576
72,72,3 PP Wine,George Kittle,7.917647058823529,6.911764705882353,TE,17,1.0058823529411756,1.0,1.0058823529411756
73,73,3 PP Wine,Michael Thomas,10.3,6.345,WR,8,3.955000000000001,0.47058823529411764,1.8611764705882357
74,74,3 PP Wine,Miles Sanders,15.817647058823528,11.36941176470588,RB,17,4.448235294117648,1.0,4.448235294117648
75,75,3 PP Wine,Drake London,7.705882352941177,10.861176470588234,WR,17,-3.155294117647057,1.0,-3.155294117647057
76,76,3 PP Wine,Allen Lazard,10.08235294117647,10.047058823529412,WR,17,0.0352941176470587,1.0,0.0352941176470587
77,77,3 PP Wine,Packers D/ST,3.8,5.914,D/ST,5,-2.114,0.29411764705882354,-0.6217647058823529
78,78,3 PP Wine,DeAndre Hopkins,9.076470588235294,8.399411764705883,WR,17,0.6770588235294106,1.0,0.6770588235294106
79,79,3 PP Wine,Harrison Butker,10.0,8.015833333333333,K,12,1.9841666666666669,0.7058823529411765,1.400588235294118
80,80,3 PP Wine,Alexander Mattison,3.4750000000000005,3.90625,RB,8,-0.4312499999999994,0.47058823529411764,-0.20294117647058796
81,81,3 PP Wine,David Njoku,1.7,7.96,TE,1,-6.26,0.058823529411764705,-0.36823529411764705
82,82,3 PP Wine,Jameis Winston,14.65,15.9,QB,2,-1.25,0.11764705882352941,-0.14705882352941177
83,83,3 PP Wine,Jameson Williams,0.6529411764705882,0.3141176470588235,WR,17,0.3388235294117647,1.0,0.3388235294117647
84,84,3 PP Wine,Bengals D/ST,4.0,6.0371428571428565,D/ST,7,-2.0371428571428565,0.4117647058823529,-0.8388235294117644
85,85,3 PP Wine,Jake Elliott,5.0,8.19,K,1,-3.1899999999999995,0.058823529411764705,-0.1876470588235294
86,86,3 PP Wine,Taysom Hill,6.41,6.84,TE,2,-0.4299999999999997,0.11764705882352941,-0.050588235294117614
87,87,3 PP Wine,Dustin Hopkins,8.666666666666666,7.616666666666667,K,3,1.049999999999999,0.17647058823529413,0.18529411764705864
88,88,3 PP Wine,Mark Ingram II,3.6,5.42,RB,1,-1.82,0.058823529411764705,-0.10705882352941176
89,89,3 PP Wine,Gerald Everett,7.114285714285714,8.288571428571428,TE,7,-1.1742857142857144,0.4117647058823529,-0.4835294117647059
90,90,3 PP Wine,Browns D/ST,0.0,6.88,D/ST,1,-6.88,0.058823529411764705,-0.40470588235294114
91,91,3 PP Wine,Jimmy Garoppolo,13.895,14.825,QB,4,-0.9300000000000016,0.23529411764705882,-0.21882352941176508
