,Team,Player,Average Scored Points,Average Projected Points,Position,Length of Ownership
76,3 PP Wine,Allen Lazard,10.08235294117647,10.047058823529412,WR,17
77,3 PP Wine,Packers D/ST,3.8,5.914,D/ST,5
78,3 PP Wine,DeAndre Hopkins,9.076470588235294,8.399411764705883,WR,17
79,3 PP Wine,Harrison Butker,10.0,8.015833333333333,K,12
80,3 PP Wine,Alexander Mattison,3.4750000000000005,3.90625,RB,8
81,3 PP Wine,David Njoku,1.7,7.96,TE,1
82,3 PP Wine,Jameis Winston,14.65,15.9,QB,2
83,3 PP Wine,Jameson Williams,0.6529411764705882,0.3141176470588235,WR,17
84,3 PP Wine,Bengals D/ST,4.0,6.0371428571428565,D/ST,7
85,3 PP Wine,Jake Elliott,5.0,8.19,K,1
86,3 PP Wine,Taysom Hill,6.41,6.84,TE,2
87,3 PP Wine,Dustin Hopkins,8.666666666666666,7.616666666666667,K,3
88,3 PP Wine,Mark Ingram II,3.6,5.42,RB,1
89,3 PP Wine,Gerald Everett,7.114285714285714,8.288571428571428,TE,7
90,3 PP Wine,Browns D/ST,0.0,6.88,D/ST,1
91,3 PP Wine,Jimmy Garoppolo,13.895,14.825000000000001,QB,4
92,3 PP Wine,Greg Dortch,1.6,10.55,WR,2
93,3 PP Wine,Eno Benjamin,10.042857142857143,8.858571428571429,RB,7
94,3 PP Wine,Gus Edwards,5.654545454545455,2.7536363636363634,RB,11
95,3 PP Wine,Mike Boone,11.5,7.92,RB,2
96,3 PP Wine,Matthew Wright,7.0,7.87,K,1
97,3 PP Wine,Tyler Conklin,7.4,6.8,TE,1
98,3 PP Wine,Jets D/ST,4.0,5.9,D/ST,1
99,3 PP Wine,Matt Ryan,9.92,15.75,QB,1
100,3 PP Wine,Kadarius Toney,0.64,2.948,WR,5
101,3 PP Wine,Vikings D/ST,8.0,5.51,D/ST,1
102,3 PP Wine,Dontrell Hilliard,1.8,6.69,RB,1
103,3 PP Wine,Raiders D/ST,7.0,5.385,D/ST,2
104,3 PP Wine,Odell Beckham Jr.,0.0,0.0,WR,8
105,3 PP Wine,Titans D/ST,6.0,5.13,D/ST,2
106,3 PP Wine,James Cook,3.1500000000000004,7.735000000000001,RB,4
107,3 PP Wine,Chiefs D/ST,8.0,6.77,D/ST,1
108,Dakcidental  Thumblers ,Packers D/ST,5.5,5.665,D/ST,2
109,Dakcidental  Thumblers ,Elijah Moore,2.8333333333333335,10.096666666666666,WR,3
110,Dakcidental  Thumblers ,Ja'Marr Chase,14.511764705882355,14.185294117647057,WR,17
111,Dakcidental  Thumblers ,Mark Andrews,9.788235294117646,12.698823529411767,TE,17
112,Dakcidental  Thumblers ,Cam Akers,0.6916666666666668,6.040833333333333,RB,12
113,Dakcidental  Thumblers ,David Montgomery,9.564705882352941,12.214117647058824,RB,17
114,Dakcidental  Thumblers ,Jerry Jeudy,12.729411764705883,12.337058823529413,WR,17
115,Dakcidental  Thumblers ,Dak Prescott,12.083529411764705,12.673529411764706,QB,17
116,Dakcidental  Thumblers ,Rashod Bateman,4.65,8.855,WR,8
117,Dakcidental  Thumblers ,Tony Pollard,12.941176470588236,11.212941176470588,RB,17
118,Dakcidental  Thumblers ,Tyler Lockett,11.658823529411766,13.38941176470588,WR,17
119,Dakcidental  Thumblers ,Garrett Wilson,9.647058823529411,10.486470588235292,WR,17
120,Dakcidental  Thumblers ,Michael Carter,6.211764705882352,8.631176470588237,RB,17
121,Dakcidental  Thumblers ,Hunter Henry,3.72,7.162000000000001,TE,5
122,Dakcidental  Thumblers ,Colts D/ST,5.117647058823529,5.481764705882353,D/ST,17
123,Dakcidental  Thumblers ,Justin Fields,28.18,15.04,QB,2
124,Dakcidental  Thumblers ,Matt Prater,4.5,7.87,K,4
125,Dakcidental  Thumblers ,Nico Collins,5.470588235294118,4.88470588235294,WR,17
126,Dakcidental  Thumblers ,Cade York,7.5,7.602500000000001,K,4
127,Dakcidental  Thumblers ,Trevor Lawrence,13.97777777777778,17.203333333333333,QB,9
128,Dakcidental  Thumblers ,Ryan Tannehill,13.153333333333334,15.083333333333334,QB,3
129,Dakcidental  Thumblers ,Matthew Wright,7.0,7.87,K,1
130,Dakcidental  Thumblers ,Zach Wilson,12.433333333333332,14.700000000000001,QB,3
131,Dakcidental  Thumblers ,Robert Tonyan,5.977777777777778,6.941111111111112,TE,9
132,Dakcidental  Thumblers ,Chris Boswell,6.333333333333333,5.343333333333334,K,3
133,Dakcidental  Thumblers ,Cairo Santos,6.4,8.175999999999998,K,5
134,Dakcidental  Thumblers ,Terrace Marshall Jr.,4.344444444444444,6.023333333333333,WR,9
135,Dakcidental  Thumblers ,Seahawks D/ST,6.4,5.177999999999999,D/ST,5
136,Country Road Take Mahomes ,Packers D/ST,3.0,6.3,D/ST,1
137,Country Road Take Mahomes ,Dolphins D/ST,8.0,5.027777777777778,D/ST,9
138,Country Road Take Mahomes ,Irv Smith Jr.,10.7,7.73,TE,1
139,Country Road Take Mahomes ,Evan Engram,9.763636363636364,8.94909090909091,TE,11
140,Country Road Take Mahomes ,Allen Robinson II,8.64,8.442,WR,5
141,Country Road Take Mahomes ,Dawson Knox,12.8,7.92,TE,1
142,Country Road Take Mahomes ,Steelers D/ST,7.25,5.6625,D/ST,4
143,Country Road Take Mahomes ,D'Andre Swift,12.641176470588235,12.147647058823528,RB,17
144,Country Road Take Mahomes ,Stefon Diggs,21.976470588235294,18.339411764705883,WR,17
145,Country Road Take Mahomes ,Patrick Mahomes,19.163529411764703,19.73411764705882,QB,17
146,Country Road Take Mahomes ,DK Metcalf,12.676470588235292,14.748823529411764,WR,17
147,Country Road Take Mahomes ,Kareem Hunt,6.35294117647059,9.49705882352941,RB,17
148,Country Road Take Mahomes ,Darren Waller,6.670588235294118,5.799411764705883,TE,17
149,Country Road Take Mahomes ,Antonio Gibson,10.111764705882353,10.342941176470587,RB,17
150,Country Road Take Mahomes ,DeVonta Smith,19.176470588235297,12.483529411764707,WR,17
151,Country Road Take Mahomes ,Evan McPherson,6.75,7.9399999999999995,K,16
