,Player,Week,Rank,Projected_Points,Actual_Points,Point-Residuals,label,normalized_label
70,Eno Benjamin,6.0,5.0,0.0,0.0,0.0,1.0,0.0
71,Evan Engram,5.0,18.8,7.68,10.5,2.82,0.8,0.24479166666666666
72,Evan McPherson,5.0,18.56,8.02,7.11,-0.91,0.44,-0.07899305555555557
73,Ezekiel Elliott,6.0,13.91,9.09,8.65,-0.43,0.64,-0.03732638888888889
74,Gabe Davis,6.0,19.91,10.35,10.93,0.58,0.55,0.050347222222222224
75,Garrett Wilson,6.0,12.55,10.0,9.98,-0.02,0.45,-0.0017361111111111112
76,Geno Smith,5.0,13.67,12.29,10.63,-1.66,0.67,-0.1440972222222222
77,George Kittle,6.0,16.18,8.06,8.85,0.8,0.64,0.06944444444444445
78,George Pickens,5.4,8.6,7.83,6.82,-1.01,0.6,-0.08767361111111112
79,Gerald Everett,6.0,14.29,7.8,4.76,-3.05,0.43,-0.2647569444444444
80,Graham Gano,4.5,10.12,8.24,9.5,1.26,0.5,0.109375
81,Greg Dortch,2.0,23.0,10.55,1.6,-8.95,0.0,-0.7769097222222222
82,Gus Edwards,5.33,10.78,0.0,0.0,0.0,1.0,0.0
83,Harrison Butker,3.5,25.5,7.86,11.5,3.64,1.0,0.31597222222222227
84,Hayden Hurst,4.5,6.0,9.3,6.5,-2.8,0.0,-0.24305555555555555
85,Hunter Henry,1.5,19.0,8.52,2.0,-6.52,0.0,-0.5659722222222222
86,Hunter Renfrow,4.5,13.88,7.06,4.08,-2.98,0.38,-0.2586805555555556
87,Isiah Pacheco,5.0,30.0,8.94,10.7,1.76,1.0,0.1527777777777778
88,J.D. McKissic,4.0,17.29,9.25,7.26,-1.99,0.29,-0.17274305555555555
89,J.K. Dobbins,4.0,13.43,6.58,4.89,-1.69,0.57,-0.1467013888888889
90,Ja'Marr Chase,6.0,19.36,11.53,12.88,1.35,0.64,0.11718750000000001
91,Jahan Dotson,4.5,15.75,4.67,6.52,1.86,0.88,0.16145833333333334
92,Jakobi Meyers,5.0,7.6,9.3,7.36,-1.94,0.2,-0.1684027777777778
93,Jalen Hurts,6.0,17.91,21.12,21.84,0.72,0.64,0.0625
94,Jalen Tolbert,1.5,11.5,2.3,0.0,-2.3,0.5,-0.19965277777777776
95,Jamaal Williams,6.0,14.27,10.38,13.95,3.57,0.64,0.3098958333333333
96,James Conner,6.0,18.45,10.47,8.97,-1.5,0.45,-0.13020833333333334
97,James Cook,1.0,9.0,6.34,-1.8,-8.14,0.0,-0.7065972222222223
98,James Robinson,6.0,11.73,9.09,7.96,-1.13,0.45,-0.09809027777777778
99,Jameson Williams,6.0,11.55,0.0,0.0,0.0,1.0,0.0
100,Jared Goff,4.5,17.5,15.19,10.08,-5.11,0.5,-0.44357638888888895
101,Jarvis Landry,2.0,23.33,9.34,9.7,0.36,0.33,0.03125
102,Javonte Williams,2.5,22.5,15.24,10.5,-4.74,0.25,-0.41145833333333337
103,Jaylen Waddle,6.0,15.64,13.8,15.86,2.06,0.55,0.17881944444444445
104,Jeff Wilson Jr.,6.0,16.78,9.9,10.57,0.67,0.56,0.05815972222222223
105,Jerry Jeudy,5.33,12.0,9.43,6.46,-2.98,0.44,-0.2586805555555556
106,Joe Burrow,6.0,17.73,17.33,20.56,3.24,0.64,0.28125000000000006
107,Joe Mixon,6.0,14.18,16.07,16.45,0.38,0.55,0.03298611111111111
108,Jonathan Taylor,6.0,16.64,13.91,10.18,-3.73,0.55,-0.3237847222222222
109,Josh Allen,6.0,18.09,22.06,22.5,0.44,0.64,0.03819444444444445
110,Josh Jacobs,6.0,17.09,14.17,17.65,3.48,0.64,0.30208333333333337
111,Josh Reynolds,6.0,6.0,0.0,0.0,0.0,1.0,0.0
112,Joshua Palmer,4.0,20.0,13.46,7.4,-6.06,0.0,-0.5260416666666666
113,JuJu Smith-Schuster,6.0,15.18,10.37,10.68,0.31,0.55,0.026909722222222224
114,Julio Jones,3.5,26.0,2.51,0.42,-2.09,0.75,-0.1814236111111111
115,Justin Herbert,6.0,16.73,18.3,15.02,-3.28,0.45,-0.2847222222222222
116,Justin Jefferson,6.0,15.09,17.35,19.59,2.24,0.55,0.19444444444444448
117,Justin Tucker,6.0,17.27,7.48,8.82,1.34,0.73,0.11631944444444446
118,Kadarius Toney,6.0,15.18,3.67,2.41,-1.26,0.64,-0.109375
119,Kareem Hunt,6.0,13.55,9.84,8.68,-1.16,0.36,-0.10069444444444445
120,Keenan Allen,6.0,16.27,3.61,2.37,-1.24,0.82,-0.1076388888888889
121,Kenneth Walker III,6.0,13.73,8.63,11.73,3.1,0.64,0.26909722222222227
122,Kenyan Drake,5.14,14.57,5.1,8.01,2.91,0.71,0.2526041666666667
123,Khalil Herbert,4.5,17.0,9.26,4.0,-5.26,0.0,-0.4565972222222222
124,Kirk Cousins,1.0,8.0,15.66,19.08,3.42,1.0,0.296875
125,Kyle Pitts,6.0,13.09,9.47,6.87,-2.6,0.36,-0.22569444444444445
126,Kyler Murray,6.0,18.0,16.0,15.87,-0.13,0.55,-0.011284722222222224
127,Lamar Jackson,6.0,12.55,20.22,19.24,-0.98,0.36,-0.08506944444444445
128,Leonard Fournette,6.0,15.0,14.63,14.06,-0.56,0.45,-0.04861111111111112
129,Logan Thomas,3.0,22.0,0.0,0.0,0.0,1.0,0.0
130,Mark Andrews,6.0,14.18,13.0,12.16,-0.83,0.55,-0.0720486111111111
