,Player,Expected_Points,Actual_Points,Rank,Team,Difference
11,Saints D/ST,127.9,53.0,19,NO,-74.9
6,Cordarrelle Patterson,167.88,92.0,36,ATL,-75.88
159,Packers D/ST,135.55,59.0,14,GB,-76.55000000000001
68,Joe Mixon,258.91,180.9,8,CIN,-78.01000000000002
72,Jalen Hurts,318.51,240.28,3,PHI,-78.22999999999999
153,Terry McLaurin,221.94,142.4,13,WSH,-79.53999999999999
74,JuJu Smith-Schuster,197.1,117.5,23,KC,-79.6
65,Daniel Jones,252.4,171.18,15,NYG,-81.22
121,Adam Thielen,192.17,108.2,32,MIN,-83.96999999999998
21,DK Metcalf,212.43,126.1,15,SEA,-86.33000000000001
38,Gabe Davis,207.23,120.2,28,BUF,-87.02999999999999
154,Kareem Hunt,182.53,95.5,29,CLE,-87.03
117,CeeDee Lamb,252.45,164.3,8,DAL,-88.14999999999998
88,AJ Dillon,168.75,80.6,35,GB,-88.15
122,Drake London,192.77,103.9,38,ATL,-88.87
2,Mike Evans,223.32,134.1,12,TB,-89.22
152,Patrick Mahomes,352.02,262.4,1,KC,-89.62
146,Nyheim Hines,144.64,54.5,49,BUF,-90.13999999999999
141,Jameson Williams,92.61,0.0,0,DET,-92.61
157,Chase Claypool,180.36,87.24,47,CHI,-93.12000000000002
161,Breece Hall,210.66,115.1,20,NYJ,-95.56
54,Chris Godwin,198.2,102.0,34,TB,-96.19999999999999
19,George Kittle,169.59,73.0,18,SF,-96.59
137,Courtland Sutton,210.42,113.8,35,DEN,-96.61999999999999
51,Michael Pittman Jr.,236.16,138.8,17,IND,-97.35999999999999
118,Tee Higgins,237.31,139.2,24,CIN,-98.11000000000001
126,Harrison Butker,145.15,47.0,32,KC,-98.15
41,Damien Harris,174.55,75.2,45,NE,-99.35000000000001
84,Mark Andrews,235.05,133.8,2,BAL,-101.25
50,Dalvin Cook,258.49,156.5,11,MIN,-101.99000000000001
62,Marquise Brown,211.78,109.5,26,ARI,-102.28
0,Leonard Fournette,258.74,154.7,9,TB,-104.04000000000002
135,Mike Williams,211.44,107.0,31,LAC,-104.44
87,Lamar Jackson,316.41,211.68,6,BAL,-104.73000000000002
63,Alvin Kamara,254.82,146.6,14,NO,-108.22
95,Darnell Mooney,212.18,101.5,43,CHI,-110.68
79,Tua Tagovailoa,271.03,160.1,11,MIA,-110.92999999999998
92,Cooper Kupp,312.91,201.4,4,LAR,-111.51000000000002
45,Robert Woods,180.44,67.5,62,TEN,-112.94
119,Cam Akers,146.71,31.5,70,LAR,-115.21000000000001
36,David Montgomery,219.92,104.5,33,CHI,-115.41999999999999
59,Dalton Schultz,176.66,60.9,24,DAL,-115.75999999999999
138,Allen Robinson II,201.07,84.9,59,LAR,-116.16999999999999
71,Diontae Johnson,218.19,100.9,39,PIT,-117.28999999999999
103,Ezekiel Elliott,214.2,95.2,37,DAL,-118.99999999999999
100,Jerry Jeudy,212.2,93.0,41,DEN,-119.19999999999999
136,DJ Moore,234.57,114.1,27,CAR,-120.47
78,Darrell Henderson Jr.,195.14,73.5,41,LAR,-121.63999999999999
139,Chase Edmonds,174.07,52.1,52,DEN,-121.97
70,Kyle Pitts,197.64,75.6,20,ATL,-122.03999999999999
3,Brandin Cooks,215.1,91.6,50,HOU,-123.5
132,Christian McCaffrey,309.94,184.16,3,SF,-125.78
34,Josh Allen,374.63,247.5,2,BUF,-127.13
102,Ja'Marr Chase,276.17,141.7,11,CIN,-134.47000000000003
53,Kyler Murray,314.0,174.62,8,ARI,-139.38
101,Najee Harris,265.48,124.96,26,PIT,-140.52000000000004
116,Aaron Rodgers,309.66,164.08,9,GB,-145.58
120,Darren Waller,187.71,39.5,35,OAK,-148.21
64,Tom Brady,306.83,153.4,13,TB,-153.42999999999998
33,Deebo Samuel,261.46,107.6,29,SF,-153.85999999999999
35,James Conner,240.04,85.3,32,ARI,-154.74
123,Kadarius Toney,186.18,26.5,118,KC,-159.68
130,D'Andre Swift,253.66,93.5,34,DET,-160.16
17,Justin Herbert,328.04,165.2,16,LAC,-162.84000000000003
37,Elijah Mitchell,197.42,13.9,92,SF,-183.51999999999998
149,Jonathan Taylor,316.99,112.0,27,IND,-204.99
69,Keenan Allen,237.62,26.1,136,LAC,-211.52
48,Dak Prescott,306.52,81.98,31,DAL,-224.53999999999996
