,Team,Player,Week,Rank,Expected_Points,Actual_Points,Difference,Position
70,Gorilla Guys,Jalen Hurts,1,3,318.51,270.1,-48.40999999999997,QB
71,Gorilla Guys,Amon-Ra St. Brown,1,11,208.86,168.7,-40.160000000000025,WR
72,Gorilla Guys,JuJu Smith-Schuster,1,34,197.1,124.3,-72.8,WR
73,Gorilla Guys,Tony Pollard,1,10,177.23,171.5,-5.72999999999999,RB
74,Gorilla Guys,DeAndre Hopkins,1,33,150.41,124.4,-26.00999999999999,WR
75,Gorilla Guys,Jamaal Williams,1,12,123.09,164.1,41.00999999999999,RB
76,Gorilla Guys,Saints D/ST,1,18,127.9,57.0,-70.9,D/ST
77,Gorilla Guys,Matt Gay,1,24,147.81,69.0,-78.81,K
78,Gorilla Guys,Darrell Henderson Jr.,1,47,195.14,73.5,-121.63999999999999,RB
79,Gorilla Guys,Robbie Anderson,1,105,157.03,40.9,-116.13,WR
80,Gorilla Guys,Jahan Dotson,1,84,159.03,57.2,-101.83,WR
81,My Team  A Bust,Austin Ekeler,1,1,284.73,255.1,-29.630000000000024,RB
82,My Team  A Bust,Mark Andrews,1,2,235.05,144.8,-90.25,TE
83,My Team  A Bust,Saquon Barkley,1,6,227.77,200.5,-27.27000000000001,RB
84,My Team  A Bust,A.J. Brown,1,9,220.85,174.1,-46.75,WR
85,My Team  A Bust,Lamar Jackson,1,5,316.41,234.74,-81.67000000000002,QB
86,My Team  A Bust,Jerry Jeudy,1,53,212.2,93.0,-119.19999999999999,WR
87,My Team  A Bust,AJ Dillon,1,35,168.75,98.4,-70.35,RB
88,My Team  A Bust,Michael Thomas,1,92,206.58,51.1,-155.48000000000002,WR
89,My Team  A Bust,Clyde Edwards-Helaire,1,36,190.6,98.3,-92.3,RB
90,My Team  A Bust,Allen Lazard,1,32,172.56,125.3,-47.260000000000005,WR
91,My Team  A Bust,Kenneth Walker III,1,17,126.57,145.9,19.330000000000013,RB
92,My Team  A Bust,Dameon Pierce,1,18,183.65,142.1,-41.55000000000001,RB
93,My Team  A Bust,Treylon Burks,1,73,163.84,64.6,-99.24000000000001,WR
94,My Team  A Bust,Michael Carter,1,30,150.53,103.9,-46.629999999999995,RB
95,My Team  A Bust,Colts D/ST,1,11,108.7,69.0,-39.7,D/ST
96,My Team  A Bust,Gus Edwards,1,68,84.01,34.3,-49.71000000000001,RB
97,My Team  A Bust,Tyler Bass,1,1,131.58,117.0,-14.580000000000013,K
98,No Nyugen Will Win,Najee Harris,1,21,265.48,135.86,-129.62,RB
99,No Nyugen Will Win,Ja'Marr Chase,1,19,276.17,141.7,-134.47000000000003,WR
100,No Nyugen Will Win,Ezekiel Elliott,1,27,214.2,111.7,-102.49999999999999,RB
101,No Nyugen Will Win,J.K. Dobbins,1,69,214.3,34.2,-180.10000000000002,RB
102,No Nyugen Will Win,Travis Etienne Jr.,1,20,205.01,139.0,-66.00999999999999,RB
103,No Nyugen Will Win,Antonio Gibson,1,16,181.26,148.2,-33.06,RB
104,No Nyugen Will Win,Darnell Mooney,1,47,212.18,101.5,-110.68,WR
105,No Nyugen Will Win,T.J. Hockenson,1,3,168.03,136.7,-31.330000000000013,TE
106,No Nyugen Will Win,Aaron Rodgers,1,16,309.66,173.58,-136.08,QB
107,No Nyugen Will Win,Garrett Wilson,1,23,175.31,136.2,-39.110000000000014,WR
108,No Nyugen Will Win,Chris Olave,1,15,174.45,156.2,-18.25,WR
109,No Nyugen Will Win,Jakobi Meyers,1,31,173.92,126.2,-47.719999999999985,WR
110,No Nyugen Will Win,49ers D/ST,1,4,112.33,100.0,-12.329999999999998,D/ST
111,No Nyugen Will Win,James Robinson,1,38,151.13,87.6,-63.53,RB
112,No Nyugen Will Win,Matt Prater,1,32,133.93,47.0,-86.93,K
113,No Nyugen Will Win,George Pickens,1,41,147.03,109.4,-37.629999999999995,WR
114,Eugene Tweakers,Cooper Kupp,1,5,312.91,201.4,-111.51000000000002,WR
115,Eugene Tweakers,Alvin Kamara,1,15,254.82,153.6,-101.22,RB
116,Eugene Tweakers,CeeDee Lamb,1,7,252.45,182.0,-70.44999999999999,WR
117,Eugene Tweakers,Tee Higgins,1,12,237.31,163.6,-73.71000000000001,WR
