,Team,Player,Week,Rank,Expected_Points,Actual_Points,Difference,Position
314,P-Town CASH KEVIN,Tyreek Hill,2,3,246.45,237.3,-9.149999999999977,WR
315,P-Town CASH KEVIN,Travis Kelce,2,1,227.3,238.7,11.399999999999977,TE
316,P-Town CASH KEVIN,Patrick Mahomes,2,2,352.02,280.8,-71.21999999999997,QB
317,P-Town CASH KEVIN,Terry McLaurin,2,16,221.94,151.7,-70.24000000000001,WR
318,P-Town CASH KEVIN,Kareem Hunt,2,34,182.53,98.6,-83.93,RB
319,P-Town CASH KEVIN,Hunter Renfrow,2,108,199.03,38.2,-160.82999999999998,WR
320,P-Town CASH KEVIN,DeVonta Smith,2,26,192.23,132.9,-59.329999999999984,WR
321,P-Town CASH KEVIN,Rhamondre Stevenson,2,7,182.24,197.7,15.45999999999998,RB
322,P-Town CASH KEVIN,Joe Burrow,2,4,294.45,244.2,-50.25,QB
323,P-Town CASH KEVIN,Chase Claypool,2,51,180.36,94.34,-86.02000000000001,WR
324,P-Town CASH KEVIN,Skyy Moore,2,118,134.97,31.5,-103.47,WR
325,P-Town CASH KEVIN,Pat Freiermuth,2,6,144.17,105.1,-39.06999999999999,TE
326,P-Town CASH KEVIN,Packers D/ST,2,20,135.55,54.0,-81.55000000000001,D/ST
327,P-Town CASH KEVIN,Brandon McManus,2,17,139.43,80.0,-59.43000000000001,K
328,P-Town CASH KEVIN,Julio Jones,2,93,130.5,51.0,-79.5,WR
329,I dont know what im doing,Leonard Fournette,3,14,258.74,154.7,-104.04000000000002,RB
330,I dont know what im doing,Davante Adams,3,4,253.59,230.8,-22.789999999999992,WR
331,I dont know what im doing,Mike Evans,3,20,223.32,139.2,-84.12,WR
332,I dont know what im doing,Breece Hall,3,26,210.66,115.1,-95.56,RB
333,I dont know what im doing,Brandin Cooks,3,46,215.1,102.7,-112.39999999999999,WR
334,I dont know what im doing,Dalton Schultz,3,18,176.66,80.0,-96.66,TE
335,I dont know what im doing,Devin Singletary,3,19,188.72,139.9,-48.81999999999999,RB
336,I dont know what im doing,Amari Cooper,3,8,198.97,176.2,-22.77000000000001,WR
337,I dont know what im doing,Russell Wilson,3,21,302.42,135.56,-166.86,QB
338,I dont know what im doing,Cordarrelle Patterson,3,32,167.88,102.1,-65.78,RB
339,I dont know what im doing,Zach Ertz,3,4,148.18,115.6,-32.58000000000001,TE
340,I dont know what im doing,Evan McPherson,3,11,148.47,90.0,-58.47,K
341,I dont know what im doing,Patriots D/ST,3,1,90.39,115.0,24.61,D/ST
342,I dont know what im doing,J.D. McKissic,3,55,144.62,55.8,-88.82000000000001,RB
343,I dont know what im doing,Texans D/ST,3,28,46.97,35.0,-11.969999999999999,D/ST
344,I dont know what im doing,Allen Lazard,3,32,172.56,125.3,-47.260000000000005,WR
345,Just-in-N-out Drive thru,Justin Jefferson,3,2,287.8,244.86,-42.94,WR
346,Just-in-N-out Drive thru,Justin Herbert,3,9,328.04,193.96,-134.08,QB
347,Just-in-N-out Drive thru,Nick Chubb,3,5,216.04,208.1,-7.939999999999998,RB
348,Just-in-N-out Drive thru,George Kittle,3,7,169.59,103.0,-66.59,TE
349,Just-in-N-out Drive thru,Josh Jacobs,3,2,210.51,242.4,31.890000000000015,RB
350,Just-in-N-out Drive thru,DK Metcalf,3,18,212.43,146.1,-66.33000000000001,WR
351,Just-in-N-out Drive thru,Miles Sanders,3,13,184.65,159.0,-25.650000000000006,RB
352,Just-in-N-out Drive thru,Nick Folk,3,3,141.25,106.0,-35.25,K
353,Just-in-N-out Drive thru,Brandon Aiyuk,3,17,184.92,150.9,-34.01999999999998,WR
354,Just-in-N-out Drive thru,Bills D/ST,3,6,143.85,99.0,-44.849999999999994,D/ST
355,Just-in-N-out Drive thru,Rex Burkhead,3,52,125.89,58.7,-67.19,RB
356,Just-in-N-out Drive thru,Jarvis Landry,3,86,144.95,56.8,-88.14999999999999,WR
357,Just-in-N-out Drive thru,Sterling Shepard,3,113,133.32,34.4,-98.91999999999999,WR
358,Just-in-N-out Drive thru,Logan Thomas,3,37,115.61,46.0,-69.61,TE
359,Just-in-N-out Drive thru,Derek Carr,3,15,260.61,174.9,-85.71000000000001,QB
360,Just-in-N-out Drive thru,Raheem Mostert,3,28,130.43,107.2,-23.230000000000004,RB
361,Cougar Town Zach Wilson,Deebo Samuel,3,22,261.46,137.3,-124.15999999999997,WR
362,Cougar Town Zach Wilson,Josh Allen,3,1,374.63,294.34,-80.29000000000002,QB
363,Cougar Town Zach Wilson,James Conner,3,24,240.04,119.7,-120.33999999999999,RB
364,Cougar Town Zach Wilson,David Montgomery,3,25,219.92,118.8,-101.11999999999999,RB
365,Cougar Town Zach Wilson,Elijah Mitchell,3,78,197.42,26.1,-171.32,RB
366,Cougar Town Zach Wilson,Gabe Davis,3,21,207.23,137.5,-69.72999999999999,WR
367,Cougar Town Zach Wilson,Justin Tucker,3,2,144.4,111.0,-33.400000000000006,K
368,Cougar Town Zach Wilson,Dallas Goedert,3,5,150.33,113.4,-36.93000000000001,TE
369,Cougar Town Zach Wilson,Damien Harris,3,45,174.55,76.8,-97.75000000000001,RB
370,Cougar Town Zach Wilson,Elijah Moore,3,88,198.34,53.6,-144.74,WR
371,Cougar Town Zach Wilson,Dawson Knox,3,19,146.56,77.7,-68.86,TE
372,Cougar Town Zach Wilson,DJ Chark,3,116,146.04,32.4,-113.63999999999999,WR
373,Cougar Town Zach Wilson,Steelers D/ST,3,24,108.82,49.0,-59.81999999999999,D/ST
374,Cougar Town Zach Wilson,Noah Fant,3,23,139.83,73.0,-66.83000000000001,TE
375,Cougar Town Zach Wilson,Tyler Lockett,3,13,197.01,159.8,-37.20999999999998,WR
376,Cougar Town Zach Wilson,Matthew Stafford,3,26,285.7,108.38,-177.32,QB
377,Cougar Town Zach Wilson,Darrel Williams,3,86,69.6,21.1,-48.49999999999999,RB
378,Couv Reigning Champ,Dalvin Cook,3,11,258.49,166.1,-92.39000000000001,RB
379,Couv Reigning Champ,D'Andre Swift,3,31,253.66,103.8,-149.86,RB
380,Couv Reigning Champ,Javonte Williams,3,63,238.99,42.0,-196.99,RB
381,Couv Reigning Champ,Michael Pittman Jr.,3,14,236.16,157.9,-78.25999999999999,WR
382,Couv Reigning Champ,Jaylen Waddle,3,6,218.23,188.0,-30.22999999999999,WR
383,Couv Reigning Champ,Kyler Murray,3,8,314.0,199.86,-114.13999999999999,QB
384,Couv Reigning Champ,Chris Godwin,3,27,198.2,131.0,-67.19999999999999,WR
385,Couv Reigning Champ,Rashod Bateman,3,89,197.96,53.5,-144.46,WR
386,Couv Reigning Champ,Melvin Gordon III,3,39,144.72,87.1,-57.620000000000005,RB
387,Couv Reigning Champ,Christian Kirk,3,10,200.01,169.2,-30.810000000000002,WR
388,Couv Reigning Champ,Alexander Mattison,3,56,109.64,52.4,-57.24,RB
389,Couv Reigning Champ,Ravens D/ST,3,7,119.59,88.0,-31.590000000000003,D/ST
390,Couv Reigning Champ,Nyheim Hines,3,53,144.64,57.6,-87.03999999999999,RB
391,Couv Reigning Champ,Tyler Higbee,3,14,130.34,91.0,-39.34,TE
392,Couv Reigning Champ,Ryan Succop,3,8,130.21,94.0,-36.21000000000001,K
393,Couv Reigning Champ,Eagles D/ST,3,3,121.78,105.0,-16.78,D/ST
394,Couv Reigning Champ,Rachaad White,3,43,95.97,79.6,-16.370000000000005,RB
395,Gorilla Guys,Derrick Henry,3,3,264.47,217.76,-46.710000000000036,RB
396,Gorilla Guys,Joe Mixon,3,9,258.91,180.9,-78.01000000000002,RB
397,Gorilla Guys,Keenan Allen,3,103,237.62,42.0,-195.62,WR
398,Gorilla Guys,Kyle Pitts,3,20,197.64,75.6,-122.03999999999999,TE
399,Gorilla Guys,Diontae Johnson,3,40,218.19,110.8,-107.39,WR
400,Gorilla Guys,Jalen Hurts,3,3,318.51,270.1,-48.40999999999997,QB
401,Gorilla Guys,Amon-Ra St. Brown,3,11,208.86,168.7,-40.160000000000025,WR
402,Gorilla Guys,JuJu Smith-Schuster,3,34,197.1,124.3,-72.8,WR
403,Gorilla Guys,Tony Pollard,3,10,177.23,171.5,-5.72999999999999,RB
404,Gorilla Guys,DeAndre Hopkins,3,33,150.41,124.4,-26.00999999999999,WR
405,Gorilla Guys,Jamaal Williams,3,12,123.09,164.1,41.00999999999999,RB
406,Gorilla Guys,Saints D/ST,3,18,127.9,57.0,-70.9,D/ST
407,Gorilla Guys,Matt Gay,3,24,147.81,69.0,-78.81,K
408,Gorilla Guys,Darrell Henderson Jr.,3,47,195.14,73.5,-121.63999999999999,RB
409,Gorilla Guys,Robbie Anderson,3,105,157.03,40.9,-116.13,WR
410,Gorilla Guys,Jahan Dotson,3,84,159.03,57.2,-101.83,WR
411,Gorilla Guys,Rams D/ST,3,23,82.21,51.0,-31.209999999999994,D/ST
412,My Team  A Bust,Austin Ekeler,3,1,284.73,255.1,-29.630000000000024,RB
413,My Team  A Bust,Mark Andrews,3,2,235.05,144.8,-90.25,TE
414,My Team  A Bust,Saquon Barkley,3,6,227.77,200.5,-27.27000000000001,RB
415,My Team  A Bust,A.J. Brown,3,9,220.85,174.1,-46.75,WR
416,My Team  A Bust,Lamar Jackson,3,5,316.41,234.74,-81.67000000000002,QB
417,My Team  A Bust,Jerry Jeudy,3,53,212.2,93.0,-119.19999999999999,WR
418,My Team  A Bust,AJ Dillon,3,35,168.75,98.4,-70.35,RB
419,My Team  A Bust,Michael Thomas,3,92,206.58,51.1,-155.48000000000002,WR
420,My Team  A Bust,Clyde Edwards-Helaire,3,36,190.6,98.3,-92.3,RB
421,My Team  A Bust,Kenneth Walker III,3,17,126.57,145.9,19.330000000000013,RB
422,My Team  A Bust,Dameon Pierce,3,18,183.65,142.1,-41.55000000000001,RB
423,My Team  A Bust,Treylon Burks,3,73,163.84,64.6,-99.24000000000001,WR
424,My Team  A Bust,Michael Carter,3,30,150.53,103.9,-46.629999999999995,RB
425,My Team  A Bust,Gus Edwards,3,68,84.01,34.3,-49.71000000000001,RB
426,My Team  A Bust,Tyler Bass,3,1,131.58,117.0,-14.580000000000013,K
427,My Team  A Bust,Jakobi Meyers,3,31,173.92,126.2,-47.719999999999985,WR
428,My Team  A Bust,Buccaneers D/ST,3,9,124.63,77.0,-47.629999999999995,D/ST
429,No Nyugen Will Win,Najee Harris,3,21,265.48,135.86,-129.62,RB
430,No Nyugen Will Win,Ja'Marr Chase,3,19,276.17,141.7,-134.47000000000003,WR
431,No Nyugen Will Win,Ezekiel Elliott,3,27,214.2,111.7,-102.49999999999999,RB
432,No Nyugen Will Win,J.K. Dobbins,3,69,214.3,34.2,-180.10000000000002,RB
433,No Nyugen Will Win,Travis Etienne Jr.,3,20,205.01,139.0,-66.00999999999999,RB
434,No Nyugen Will Win,Antonio Gibson,3,16,181.26,148.2,-33.06,RB
435,No Nyugen Will Win,Darnell Mooney,3,47,212.18,101.5,-110.68,WR
436,No Nyugen Will Win,T.J. Hockenson,3,3,168.03,136.7,-31.330000000000013,TE
437,No Nyugen Will Win,Garrett Wilson,3,23,175.31,136.2,-39.110000000000014,WR
438,No Nyugen Will Win,Chris Olave,3,15,174.45,156.2,-18.25,WR
439,No Nyugen Will Win,49ers D/ST,3,4,112.33,100.0,-12.329999999999998,D/ST
440,No Nyugen Will Win,James Robinson,3,38,151.13,87.6,-63.53,RB
441,No Nyugen Will Win,Curtis Samuel,3,24,133.02,135.8,2.780000000000001,WR
442,No Nyugen Will Win,Younghoe Koo,3,7,125.78,97.0,-28.78,K
443,No Nyugen Will Win,Brian Robinson Jr.,3,48,102.87,73.4,-29.47,RB
444,No Nyugen Will Win,Tua Tagovailoa,3,14,271.03,176.06,-94.96999999999997,QB
445,No Nyugen Will Win,Gerald Everett,3,15,127.63,90.2,-37.42999999999999,TE
446,Eugene Tweakers,Cooper Kupp,3,5,312.91,201.4,-111.51000000000002,WR
447,Eugene Tweakers,Alvin Kamara,3,15,254.82,153.6,-101.22,RB
448,Eugene Tweakers,CeeDee Lamb,3,7,252.45,182.0,-70.44999999999999,WR
449,Eugene Tweakers,Tee Higgins,3,12,237.31,163.6,-73.71000000000001,WR
450,Eugene Tweakers,Cam Akers,3,67,146.71,35.2,-111.51,RB
451,Eugene Tweakers,Darren Waller,3,41,187.71,39.5,-148.21,TE
452,Eugene Tweakers,Marquise Brown,3,37,211.78,120.1,-91.68,WR
453,Eugene Tweakers,Tom Brady,3,17,306.83,171.44,-135.39,QB
454,Eugene Tweakers,Adam Thielen,3,28,192.17,129.3,-62.869999999999976,WR
455,Eugene Tweakers,Drake London,3,42,192.77,108.8,-83.97000000000001,WR
456,Eugene Tweakers,Kadarius Toney,3,125,186.18,26.5,-159.68,WR
457,Eugene Tweakers,Dak Prescott,3,30,306.52,96.82,-209.7,QB
458,Eugene Tweakers,Cowboys D/ST,3,2,106.49,112.0,5.510000000000005,D/ST
459,Eugene Tweakers,Graham Gano,3,8,131.95,94.0,-37.94999999999999,K
460,Eugene Tweakers,Mike Davis,3,124,50.28,4.2,-46.08,RB
461,Eugene Tweakers,Kenyan Drake,3,44,13.48,79.4,65.92,RB
462,Diggy Wit it,Christian McCaffrey,3,4,309.94,210.66,-99.28,RB
463,Diggy Wit it,Stefon Diggs,3,1,258.25,271.2,12.949999999999989,WR
464,Diggy Wit it,Aaron Jones,3,8,242.56,191.5,-51.06,RB
465,Diggy Wit it,Mike Williams,3,43,211.44,107.0,-104.44,WR
466,Diggy Wit it,DJ Moore,3,25,234.57,134.4,-100.16999999999999,WR
467,Diggy Wit it,Courtland Sutton,3,30,210.42,127.3,-83.11999999999999,WR
468,Diggy Wit it,Allen Robinson II,3,58,201.07,84.9,-116.16999999999999,WR
469,Diggy Wit it,Rashaad Penny,3,57,162.93,52.2,-110.73,RB
470,Diggy Wit it,Chase Edmonds,3,58,174.07,52.1,-121.97,RB
471,Diggy Wit it,Daniel Carlson,3,5,139.12,104.0,-35.120000000000005,K
472,Diggy Wit it,Marquez Valdes-Scantling,3,54,172.06,88.2,-83.86,WR
473,Diggy Wit it,Jameson Williams,3,0,92.61,0.0,-92.61,WR
474,Diggy Wit it,Jeff Wilson Jr.,3,23,50.21,124.6,74.38999999999999,RB
475,Diggy Wit it,Hayden Hurst,3,8,130.09,96.8,-33.290000000000006,TE
476,Diggy Wit it,Carson Wentz,3,29,253.68,97.46,-156.22000000000003,QB
477,Diggy Wit it,Browns D/ST,3,29,107.29,34.0,-73.29,D/ST
478,Diggy Wit it,Evan Engram,3,17,124.37,80.6,-43.77000000000001,TE
479,P-Town CASH KEVIN,Jonathan Taylor,3,22,316.99,130.8,-186.19,RB
480,P-Town CASH KEVIN,Tyreek Hill,3,3,246.45,237.3,-9.149999999999977,WR
481,P-Town CASH KEVIN,Travis Kelce,3,1,227.3,238.7,11.399999999999977,TE
482,P-Town CASH KEVIN,Patrick Mahomes,3,2,352.02,280.8,-71.21999999999997,QB
483,P-Town CASH KEVIN,Terry McLaurin,3,16,221.94,151.7,-70.24000000000001,WR
484,P-Town CASH KEVIN,Kareem Hunt,3,34,182.53,98.6,-83.93,RB
485,P-Town CASH KEVIN,Hunter Renfrow,3,108,199.03,38.2,-160.82999999999998,WR
486,P-Town CASH KEVIN,DeVonta Smith,3,26,192.23,132.9,-59.329999999999984,WR
487,P-Town CASH KEVIN,Rhamondre Stevenson,3,7,182.24,197.7,15.45999999999998,RB
488,P-Town CASH KEVIN,Joe Burrow,3,4,294.45,244.2,-50.25,QB
489,P-Town CASH KEVIN,Chase Claypool,3,51,180.36,94.34,-86.02000000000001,WR
490,P-Town CASH KEVIN,Skyy Moore,3,118,134.97,31.5,-103.47,WR
491,P-Town CASH KEVIN,Pat Freiermuth,3,6,144.17,105.1,-39.06999999999999,TE
492,P-Town CASH KEVIN,Packers D/ST,3,20,135.55,54.0,-81.55000000000001,D/ST
493,P-Town CASH KEVIN,Brandon McManus,3,17,139.43,80.0,-59.43000000000001,K
494,P-Town CASH KEVIN,Julio Jones,3,93,130.5,51.0,-79.5,WR
495,I dont know what im doing,Leonard Fournette,4,14,258.74,154.7,-104.04000000000002,RB
496,I dont know what im doing,Davante Adams,4,4,253.59,230.8,-22.789999999999992,WR
497,I dont know what im doing,Mike Evans,4,20,223.32,139.2,-84.12,WR
498,I dont know what im doing,Brandin Cooks,4,46,215.1,102.7,-112.39999999999999,WR
499,I dont know what im doing,Dalton Schultz,4,18,176.66,80.0,-96.66,TE
500,I dont know what im doing,Devin Singletary,4,19,188.72,139.9,-48.81999999999999,RB
501,I dont know what im doing,Amari Cooper,4,8,198.97,176.2,-22.77000000000001,WR
502,I dont know what im doing,Cordarrelle Patterson,4,32,167.88,102.1,-65.78,RB
503,I dont know what im doing,Zach Ertz,4,4,148.18,115.6,-32.58000000000001,TE
504,I dont know what im doing,Evan McPherson,4,11,148.47,90.0,-58.47,K
505,I dont know what im doing,Patriots D/ST,4,1,90.39,115.0,24.61,D/ST
506,I dont know what im doing,J.D. McKissic,4,55,144.62,55.8,-88.82000000000001,RB
507,I dont know what im doing,Allen Lazard,4,32,172.56,125.3,-47.260000000000005,WR
508,I dont know what im doing,Joe Burrow,4,4,294.45,244.2,-50.25,QB
509,I dont know what im doing,Gerald Everett,4,15,127.63,90.2,-37.42999999999999,TE
510,I dont know what im doing,Mack Hollins,4,39,80.71,111.26,30.55000000000001,WR
511,Just-in-N-out Drive thru,Justin Jefferson,4,2,287.8,244.86,-42.94,WR
512,Just-in-N-out Drive thru,Justin Herbert,4,9,328.04,193.96,-134.08,QB
513,Just-in-N-out Drive thru,Nick Chubb,4,5,216.04,208.1,-7.939999999999998,RB
514,Just-in-N-out Drive thru,George Kittle,4,7,169.59,103.0,-66.59,TE
515,Just-in-N-out Drive thru,Josh Jacobs,4,2,210.51,242.4,31.890000000000015,RB
516,Just-in-N-out Drive thru,DK Metcalf,4,18,212.43,146.1,-66.33000000000001,WR
517,Just-in-N-out Drive thru,Miles Sanders,4,13,184.65,159.0,-25.650000000000006,RB
518,Just-in-N-out Drive thru,Nick Folk,4,3,141.25,106.0,-35.25,K
519,Just-in-N-out Drive thru,Brandon Aiyuk,4,17,184.92,150.9,-34.01999999999998,WR
520,Just-in-N-out Drive thru,Bills D/ST,4,6,143.85,99.0,-44.849999999999994,D/ST
521,Just-in-N-out Drive thru,Derek Carr,4,15,260.61,174.9,-85.71000000000001,QB
522,Just-in-N-out Drive thru,Raheem Mostert,4,28,130.43,107.2,-23.230000000000004,RB
523,Just-in-N-out Drive thru,David Njoku,4,8,131.43,96.8,-34.63000000000001,TE
524,Just-in-N-out Drive thru,Greg Dortch,4,62,6.15,76.8,70.64999999999999,WR
525,Just-in-N-out Drive thru,Richie James,4,77,6.32,62.6,56.28,WR
526,Just-in-N-out Drive thru,Joshua Palmer,4,36,150.93,123.6,-27.330000000000013,WR
527,Cougar Town Zach Wilson,Deebo Samuel,4,22,261.46,137.3,-124.15999999999997,WR
528,Cougar Town Zach Wilson,Josh Allen,4,1,374.63,294.34,-80.29000000000002,QB
529,Cougar Town Zach Wilson,James Conner,4,24,240.04,119.7,-120.33999999999999,RB
530,Cougar Town Zach Wilson,David Montgomery,4,25,219.92,118.8,-101.11999999999999,RB
531,Cougar Town Zach Wilson,Elijah Mitchell,4,78,197.42,26.1,-171.32,RB
532,Cougar Town Zach Wilson,Gabe Davis,4,21,207.23,137.5,-69.72999999999999,WR
533,Cougar Town Zach Wilson,Justin Tucker,4,2,144.4,111.0,-33.400000000000006,K
534,Cougar Town Zach Wilson,Dallas Goedert,4,5,150.33,113.4,-36.93000000000001,TE
535,Cougar Town Zach Wilson,Damien Harris,4,45,174.55,76.8,-97.75000000000001,RB
536,Cougar Town Zach Wilson,Elijah Moore,4,88,198.34,53.6,-144.74,WR
537,Cougar Town Zach Wilson,Dawson Knox,4,19,146.56,77.7,-68.86,TE
538,Cougar Town Zach Wilson,DJ Chark,4,116,146.04,32.4,-113.63999999999999,WR
539,Cougar Town Zach Wilson,Steelers D/ST,4,24,108.82,49.0,-59.81999999999999,D/ST
540,Cougar Town Zach Wilson,Tyler Lockett,4,13,197.01,159.8,-37.20999999999998,WR
541,Cougar Town Zach Wilson,Matthew Stafford,4,26,285.7,108.38,-177.32,QB
542,Cougar Town Zach Wilson,Darrel Williams,4,86,69.6,21.1,-48.49999999999999,RB
543,Cougar Town Zach Wilson,Logan Thomas,4,37,115.61,46.0,-69.61,TE
544,Couv Reigning Champ,Dalvin Cook,4,11,258.49,166.1,-92.39000000000001,RB
545,Couv Reigning Champ,D'Andre Swift,4,31,253.66,103.8,-149.86,RB
546,Couv Reigning Champ,Javonte Williams,4,63,238.99,42.0,-196.99,RB
547,Couv Reigning Champ,Michael Pittman Jr.,4,14,236.16,157.9,-78.25999999999999,WR
548,Couv Reigning Champ,Jaylen Waddle,4,6,218.23,188.0,-30.22999999999999,WR
549,Couv Reigning Champ,Kyler Murray,4,8,314.0,199.86,-114.13999999999999,QB
550,Couv Reigning Champ,Chris Godwin,4,27,198.2,131.0,-67.19999999999999,WR
551,Couv Reigning Champ,Rashod Bateman,4,89,197.96,53.5,-144.46,WR
552,Couv Reigning Champ,Melvin Gordon III,4,39,144.72,87.1,-57.620000000000005,RB
553,Couv Reigning Champ,Christian Kirk,4,10,200.01,169.2,-30.810000000000002,WR
554,Couv Reigning Champ,Alexander Mattison,4,56,109.64,52.4,-57.24,RB
555,Couv Reigning Champ,Nyheim Hines,4,53,144.64,57.6,-87.03999999999999,RB
556,Couv Reigning Champ,Tyler Higbee,4,14,130.34,91.0,-39.34,TE
557,Couv Reigning Champ,Ryan Succop,4,8,130.21,94.0,-36.21000000000001,K
558,Couv Reigning Champ,Eagles D/ST,4,3,121.78,105.0,-16.78,D/ST
559,Couv Reigning Champ,Rachaad White,4,43,95.97,79.6,-16.370000000000005,RB
560,Couv Reigning Champ,Rondale Moore,4,55,130.69,87.9,-42.78999999999999,WR
561,Gorilla Guys,Derrick Henry,4,3,264.47,217.76,-46.710000000000036,RB
562,Gorilla Guys,Joe Mixon,4,9,258.91,180.9,-78.01000000000002,RB
563,Gorilla Guys,Keenan Allen,4,103,237.62,42.0,-195.62,WR
564,Gorilla Guys,Kyle Pitts,4,20,197.64,75.6,-122.03999999999999,TE
565,Gorilla Guys,Diontae Johnson,4,40,218.19,110.8,-107.39,WR
566,Gorilla Guys,Jalen Hurts,4,3,318.51,270.1,-48.40999999999997,QB
567,Gorilla Guys,Amon-Ra St. Brown,4,11,208.86,168.7,-40.160000000000025,WR
568,Gorilla Guys,JuJu Smith-Schuster,4,34,197.1,124.3,-72.8,WR
569,Gorilla Guys,Tony Pollard,4,10,177.23,171.5,-5.72999999999999,RB
570,Gorilla Guys,DeAndre Hopkins,4,33,150.41,124.4,-26.00999999999999,WR
571,Gorilla Guys,Jamaal Williams,4,12,123.09,164.1,41.00999999999999,RB
572,Gorilla Guys,Saints D/ST,4,18,127.9,57.0,-70.9,D/ST
573,Gorilla Guys,Matt Gay,4,24,147.81,69.0,-78.81,K
574,Gorilla Guys,Darrell Henderson Jr.,4,47,195.14,73.5,-121.63999999999999,RB
575,Gorilla Guys,Robbie Anderson,4,105,157.03,40.9,-116.13,WR
576,Gorilla Guys,Jahan Dotson,4,84,159.03,57.2,-101.83,WR
577,Gorilla Guys,Rams D/ST,4,23,82.21,51.0,-31.209999999999994,D/ST
578,My Team  A Bust,Austin Ekeler,4,1,284.73,255.1,-29.630000000000024,RB
579,My Team  A Bust,Mark Andrews,4,2,235.05,144.8,-90.25,TE
580,My Team  A Bust,Saquon Barkley,4,6,227.77,200.5,-27.27000000000001,RB
581,My Team  A Bust,A.J. Brown,4,9,220.85,174.1,-46.75,WR
582,My Team  A Bust,Lamar Jackson,4,5,316.41,234.74,-81.67000000000002,QB
583,My Team  A Bust,Jerry Jeudy,4,53,212.2,93.0,-119.19999999999999,WR
584,My Team  A Bust,AJ Dillon,4,35,168.75,98.4,-70.35,RB
585,My Team  A Bust,Michael Thomas,4,92,206.58,51.1,-155.48000000000002,WR
586,My Team  A Bust,Clyde Edwards-Helaire,4,36,190.6,98.3,-92.3,RB
587,My Team  A Bust,Kenneth Walker III,4,17,126.57,145.9,19.330000000000013,RB
588,My Team  A Bust,Dameon Pierce,4,18,183.65,142.1,-41.55000000000001,RB
589,My Team  A Bust,Treylon Burks,4,73,163.84,64.6,-99.24000000000001,WR
590,My Team  A Bust,Michael Carter,4,30,150.53,103.9,-46.629999999999995,RB
591,My Team  A Bust,Gus Edwards,4,68,84.01,34.3,-49.71000000000001,RB
592,My Team  A Bust,Tyler Bass,4,1,131.58,117.0,-14.580000000000013,K
593,My Team  A Bust,Buccaneers D/ST,4,9,124.63,77.0,-47.629999999999995,D/ST
594,My Team  A Bust,Romeo Doubs,4,61,120.19,79.5,-40.69,WR
595,No Nyugen Will Win,Najee Harris,4,21,265.48,135.86,-129.62,RB
596,No Nyugen Will Win,Ja'Marr Chase,4,19,276.17,141.7,-134.47000000000003,WR
597,No Nyugen Will Win,Ezekiel Elliott,4,27,214.2,111.7,-102.49999999999999,RB
598,No Nyugen Will Win,J.K. Dobbins,4,69,214.3,34.2,-180.10000000000002,RB
599,No Nyugen Will Win,Travis Etienne Jr.,4,20,205.01,139.0,-66.00999999999999,RB
600,No Nyugen Will Win,Antonio Gibson,4,16,181.26,148.2,-33.06,RB
601,No Nyugen Will Win,T.J. Hockenson,4,3,168.03,136.7,-31.330000000000013,TE
602,No Nyugen Will Win,Garrett Wilson,4,23,175.31,136.2,-39.110000000000014,WR
603,No Nyugen Will Win,Chris Olave,4,15,174.45,156.2,-18.25,WR
604,No Nyugen Will Win,49ers D/ST,4,4,112.33,100.0,-12.329999999999998,D/ST
605,No Nyugen Will Win,James Robinson,4,38,151.13,87.6,-63.53,RB
606,No Nyugen Will Win,Curtis Samuel,4,24,133.02,135.8,2.780000000000001,WR
607,No Nyugen Will Win,Younghoe Koo,4,7,125.78,97.0,-28.78,K
608,No Nyugen Will Win,Brian Robinson Jr.,4,48,102.87,73.4,-29.47,RB
609,No Nyugen Will Win,Tua Tagovailoa,4,14,271.03,176.06,-94.96999999999997,QB
610,No Nyugen Will Win,Khalil Herbert,4,29,108.93,106.5,-2.430000000000007,RB
611,No Nyugen Will Win,Tyler Conklin,4,11,86.0,94.2,8.200000000000003,TE
612,Eugene Tweakers,Cooper Kupp,4,5,312.91,201.4,-111.51000000000002,WR
613,Eugene Tweakers,Alvin Kamara,4,15,254.82,153.6,-101.22,RB
614,Eugene Tweakers,CeeDee Lamb,4,7,252.45,182.0,-70.44999999999999,WR
615,Eugene Tweakers,Tee Higgins,4,12,237.31,163.6,-73.71000000000001,WR
616,Eugene Tweakers,Cam Akers,4,67,146.71,35.2,-111.51,RB
617,Eugene Tweakers,Darren Waller,4,41,187.71,39.5,-148.21,TE
618,Eugene Tweakers,Marquise Brown,4,37,211.78,120.1,-91.68,WR
619,Eugene Tweakers,Tom Brady,4,17,306.83,171.44,-135.39,QB
620,Eugene Tweakers,Adam Thielen,4,28,192.17,129.3,-62.869999999999976,WR
621,Eugene Tweakers,Drake London,4,42,192.77,108.8,-83.97000000000001,WR
622,Eugene Tweakers,Kadarius Toney,4,125,186.18,26.5,-159.68,WR
623,Eugene Tweakers,Cowboys D/ST,4,2,106.49,112.0,5.510000000000005,D/ST
624,Eugene Tweakers,Graham Gano,4,8,131.95,94.0,-37.94999999999999,K
625,Eugene Tweakers,Mike Davis,4,124,50.28,4.2,-46.08,RB
626,Eugene Tweakers,Kenyan Drake,4,44,13.48,79.4,65.92,RB
627,Eugene Tweakers,Chargers D/ST,4,29,105.45,34.0,-71.45,D/ST
628,Diggy Wit it,Christian McCaffrey,4,4,309.94,210.66,-99.28,RB
629,Diggy Wit it,Stefon Diggs,4,1,258.25,271.2,12.949999999999989,WR
