,Team,Player,ID,RoundPick,RoundNum,Expected_Points,Actual_Points,Rank,NFLTeam,Difference
62,Gorilla Guys,Amon-Ra St. Brown,4374302,6,7,208.86,140.8,15,DET,-68.06
63,I dont know what im doing,Devin Singletary,4040761,7,7,188.72,119.8,21,BUF,-68.92
64,Cougar Town Zach Wilson,Justin Tucker,15683,8,7,144.4,97.0,3,BAL,-47.400000000000006
65,No Nyugen Will Win,Darnell Mooney,4040655,9,7,212.18,101.5,41,CHI,-110.68
66,Just-in-N-out Drive thru,Miles Sanders,4045163,10,7,184.65,128.0,19,PHI,-56.650000000000006
67,Just-in-N-out Drive thru,Nick Folk,10621,1,8,141.25,88.0,7,NE,-53.25
68,No Nyugen Will Win,T.J. Hockenson,4036133,2,8,168.03,121.4,3,MIN,-46.629999999999995
69,Cougar Town Zach Wilson,Dallas Goedert,3121023,3,8,150.33,113.4,5,PHI,-36.93000000000001
70,I dont know what im doing,Amari Cooper,2976499,4,8,198.97,159.8,10,CLE,-39.16999999999999
71,Gorilla Guys,JuJu Smith-Schuster,3120348,5,8,197.1,117.5,27,KC,-79.6
72,Eugene Tweakers,Tom Brady,2330,7,8,306.83,153.4,18,TB,-153.42999999999998
73,P-Town CASH KEVIN,DeVonta Smith,4241478,10,8,192.23,123.9,23,PHI,-68.32999999999998
74,P-Town CASH KEVIN,Rhamondre Stevenson,4569173,1,9,182.24,163.7,9,NE,-18.54000000000002
75,Eugene Tweakers,Adam Thielen,16460,4,9,192.17,108.2,35,MIN,-83.96999999999998
76,Couv Reigning Champ,Melvin Gordon III,2576434,5,9,144.72,87.1,36,None,-57.620000000000005
77,Gorilla Guys,Tony Pollard,3916148,6,9,177.23,163.4,10,DAL,-13.829999999999984
78,Cougar Town Zach Wilson,Damien Harris,3925347,8,9,174.55,75.2,43,NE,-99.35000000000001
79,No Nyugen Will Win,Aaron Rodgers,8439,9,9,309.66,164.08,12,GB,-145.58
80,Just-in-N-out Drive thru,Tyler Lockett,2577327,10,9,197.01,144.0,12,SEA,-53.00999999999999
81,Just-in-N-out Drive thru,Brandon Aiyuk,4360438,1,10,184.92,139.4,16,SF,-45.51999999999998
82,No Nyugen Will Win,Garrett Wilson,4569618,2,10,175.31,109.8,32,NYJ,-65.51
83,I dont know what im doing,Cordarrelle Patterson,15807,4,10,167.88,92.0,34,ATL,-75.88
84,Gorilla Guys,DeAndre Hopkins,15795,5,10,150.41,105.7,37,ARI,-44.709999999999994
85,Couv Reigning Champ,Christian Kirk,3895856,6,10,200.01,161.1,9,JAX,-38.91
86,Eugene Tweakers,Drake London,4426502,7,10,192.77,103.9,38,ATL,-88.87
87,My Team  A Bust,Allen Lazard,3128390,8,10,172.56,120.9,25,GB,-51.66
88,Diggy Wit it,Chase Edmonds,3119195,9,10,174.07,52.1,54,DEN,-121.97
89,P-Town CASH KEVIN,Joe Burrow,3915511,10,10,294.45,226.2,5,CIN,-68.25
90,P-Town CASH KEVIN,Chase Claypool,4046692,1,11,180.36,87.24,51,CHI,-93.12000000000002
91,Diggy Wit it,Cole Kmet,4258595,2,11,145.78,87.8,11,CHI,-57.980000000000004
92,My Team  A Bust,Kenneth Walker III,4567048,3,11,126.57,129.0,18,SEA,2.430000000000007
93,Eugene Tweakers,Kadarius Toney,4240600,4,11,186.18,26.5,120,KC,-159.68
94,Gorilla Guys,Jamaal Williams,2980453,6,11,123.09,153.5,13,DET,30.409999999999997
95,Cougar Town Zach Wilson,Dawson Knox,3930086,8,11,146.56,74.0,20,BUF,-72.56
96,No Nyugen Will Win,Chris Olave,4361370,9,11,174.45,145.0,11,NO,-29.44999999999999
97,Just-in-N-out Drive thru,Bills D/ST,-16002,1,12,143.85,85.0,6,BUF,-58.849999999999994
98,No Nyugen Will Win,Jakobi Meyers,3916433,2,12,173.92,111.8,31,NE,-62.11999999999999
99,I dont know what im doing,Tyler Boyd,3045144,4,12,168.31,123.82,24,CIN,-44.49000000000001
100,Gorilla Guys,Saints D/ST,-16018,5,12,127.9,53.0,18,NO,-74.9
101,Eugene Tweakers,Dak Prescott,2577417,7,12,306.52,81.98,29,DAL,-224.53999999999996
102,My Team  A Bust,Dameon Pierce,4360238,8,12,183.65,137.5,17,HOU,-46.150000000000006
103,Diggy Wit it,Buccaneers D/ST,-16027,9,12,124.63,72.0,9,TB,-52.629999999999995
104,P-Town CASH KEVIN,Pat Freiermuth,4361411,1,13,144.17,98.2,6,PIT,-45.969999999999985
105,Diggy Wit it,Robert Woods,15880,2,13,180.44,67.5,66,TEN,-112.94
106,Couv Reigning Champ,Ravens D/ST,-16033,5,13,119.59,83.0,7,BAL,-36.59
107,No Nyugen Will Win,49ers D/ST,-16025,9,13,112.33,88.0,5,SF,-24.33
108,Just-in-N-out Drive thru,Marcus Mariota,2576980,1,14,141.19,172.32,9,ATL,31.129999999999995
109,No Nyugen Will Win,James Robinson,4052042,2,14,151.13,87.6,35,NYJ,-63.53
110,Cougar Town Zach Wilson,Noah Fant,4036131,3,14,139.83,66.6,22,SEA,-73.23000000000002
111,I dont know what im doing,Patriots D/ST,-16017,4,14,90.39,111.0,1,NE,20.61
112,Couv Reigning Champ,Nyheim Hines,3916430,6,14,144.64,54.5,51,BUF,-90.13999999999999
113,My Team  A Bust,Michael Carter,4240657,8,14,150.53,98.3,29,NYJ,-52.230000000000004
114,Diggy Wit it,Daniel Carlson,3051909,9,14,139.12,95.0,4,OAK,-44.120000000000005
115,P-Town CASH KEVIN,Packers D/ST,-16009,10,14,135.55,59.0,16,GB,-76.55000000000001
116,P-Town CASH KEVIN,Brandon McManus,16339,1,15,139.43,77.0,16,DEN,-62.43000000000001
117,My Team  A Bust,Tyler Bass,3917232,3,15,131.58,100.0,1,BUF,-31.580000000000013
118,Eugene Tweakers,Cowboys D/ST,-16006,4,15,106.49,109.0,2,DAL,2.510000000000005
119,Couv Reigning Champ,Harrison Butker,3055899,5,15,145.15,47.0,29,KC,-98.15
120,Cougar Town Zach Wilson,Brian Robinson Jr.,4241474,8,15,102.87,52.9,52,WSH,-49.970000000000006
121,No Nyugen Will Win,Christian Watson,4248528,2,16,108.76,80.5,53,GB,-28.260000000000005
