Team,Player,Week,Rank,Projected_Points,Actual_Points,Position,Total_Expected,Total_Actual,Point-Residuals
3 PP Wine,Alexander Mattison,2,16,4.8,4.4,RB,109.64,62.2,-0.4
3 PP Wine,Alexander Mattison,3,6,5.82,11.4,RB,109.64,62.2,5.58
3 PP Wine,Alexander Mattison,4,15,5.17,8.8,RB,109.64,62.2,3.63
3 PP Wine,Alexander Mattison,5,25,4.65,7,RB,109.64,62.2,2.35
3 PP Wine,Alexander Mattison,6,23,6.23,0.3,RB,109.64,62.2,-5.93
3 PP Wine,Alexander Mattison,7,0,0,0,RB,109.64,62.2,0
3 PP Wine,Alexander Mattison,8,26,5.47,10,RB,109.64,62.2,4.53
Hot Chubb Time  Machine 2,Alexander Mattison,9,5,4.66,1.1,RB,109.64,62.2,-3.56
Hot Chubb Time  Machine 2,Alexander Mattison,10,12,3.64,2.9,RB,109.64,62.2,-0.74
Hot Chubb Time  Machine 2,Alexander Mattison,11,3,4.04,1.8,RB,109.64,62.2,-2.24
Hot Chubb Time  Machine 2,Alexander Mattison,12,2,3.6,1.1,RB,109.64,62.2,-2.5
3 PP Wine,David Njoku,1,7,7.96,1.7,TE,131.43,121.3,-6.26
Trash Trash,David Njoku,4,22,9.92,8.8,TE,131.43,121.3,-1.12
Trash Trash,David Njoku,5,13,10.9,14.1,TE,131.43,121.3,3.2
Trash Trash,David Njoku,6,19,0,0,TE,131.43,121.3,0
Trash Trash,David Njoku,7,0,0,0,TE,131.43,121.3,0
Trash Trash,David Njoku,8,30,0,0,TE,131.43,121.3,0
Trash Trash,David Njoku,9,4,10.54,3.7,TE,131.43,121.3,-6.84
Trash Trash,David Njoku,10,26,9.89,13.9,TE,131.43,121.3,4.01
Trash Trash,David Njoku,11,23,0,0,TE,131.43,121.3,0
Trash Trash,David Njoku,12,19,9.96,18.7,TE,131.43,121.3,8.74
3 PP Wine,Jameis Winston,1,23,16.91,21.66,QB,245.79,43.92,4.75
3 PP Wine,Jameis Winston,2,20,14.89,7.64,QB,245.79,43.92,-7.25
3 PP Wine,Jameson Williams,1,6,0,0,WR,92.61,11.1,0
3 PP Wine,Jameson Williams,2,15,0,0,WR,92.61,11.1,0
3 PP Wine,Jameson Williams,3,31,0,0,WR,92.61,11.1,0
3 PP Wine,Jameson Williams,4,3,0,0,WR,92.61,11.1,0
3 PP Wine,Jameson Williams,5,9,0,0,WR,92.61,11.1,0
3 PP Wine,Jameson Williams,6,0,0,0,WR,92.61,11.1,0
3 PP Wine,Jameson Williams,7,24,0,0,WR,92.61,11.1,0
3 PP Wine,Jameson Williams,8,18,0,0,WR,92.61,11.1,0
3 PP Wine,Jameson Williams,9,5,0,0,WR,92.61,11.1,0
3 PP Wine,Jameson Williams,10,16,0,0,WR,92.61,11.1,0
3 PP Wine,Jameson Williams,11,12,0,0,WR,92.61,11.1,0
3 PP Wine,Jameson Williams,12,22,0,0,WR,92.61,11.1,0
3 PP Wine,Bengals D/ST,1,21,6.96,4,D/ST,101.48,71,-2.96
3 PP Wine,Bengals D/ST,2,3,7.58,3,D/ST,101.48,71,-4.58
3 PP Wine,Bengals D/ST,3,19,6.76,15,D/ST,101.48,71,8.24
3 PP Wine,Bengals D/ST,4,7,4.08,7,D/ST,101.48,71,2.92
3 PP Wine,Bengals D/ST,5,11,4.81,3,D/ST,101.48,71,-1.81
3 PP Wine,Bengals D/ST,6,27,6.01,0,D/ST,101.48,71,-6.01
Corduroy Patterson,Bengals D/ST,7,18,6.38,6,D/ST,101.48,71,-0.38
Deshaunorable Discharge,Bengals D/ST,9,21,7.17,0,D/ST,101.48,71,-7.17
3 PP Wine,Bengals D/ST,11,3,7.58,3,D/ST,101.48,71,-4.58
Dessert Desperadoes,Austin Ekeler,1,29,19.63,11.2,RB,284.73,307.7,-8.43
Dessert Desperadoes,Austin Ekeler,2,20,18.79,18.4,RB,284.73,307.7,-0.39
Dessert Desperadoes,Austin Ekeler,3,24,18.75,13.3,RB,284.73,307.7,-5.45
Dessert Desperadoes,Austin Ekeler,4,32,17.75,34.9,RB,284.73,307.7,17.15
Dessert Desperadoes,Austin Ekeler,5,30,18.55,35.9,RB,284.73,307.7,17.35
Dessert Desperadoes,Austin Ekeler,6,13,17.62,24.3,RB,284.73,307.7,6.68
Dessert Desperadoes,Austin Ekeler,7,31,20.21,36.7,RB,284.73,307.7,16.49
Dessert Desperadoes,Austin Ekeler,8,0,0,0,RB,284.73,307.7,0
Dessert Desperadoes,Austin Ekeler,9,18,21.74,24.1,RB,284.73,307.7,2.36
Dessert Desperadoes,Austin Ekeler,10,1,20.3,13.3,RB,284.73,307.7,-7
Dessert Desperadoes,Austin Ekeler,11,20,21.38,18,RB,284.73,307.7,-3.38
Dessert Desperadoes,Austin Ekeler,12,26,21.25,25,RB,284.73,307.7,3.75
Dessert Desperadoes,Ezekiel Elliott,1,4,13.28,5.9,RB,214.2,162,-7.38
Dessert Desperadoes,Ezekiel Elliott,2,10,13.32,5.9,RB,214.2,162,-7.42
Dessert Desperadoes,Ezekiel Elliott,3,17,13.76,14.5,RB,214.2,162,0.74
Dessert Desperadoes,Ezekiel Elliott,4,5,13.09,10.1,RB,214.2,162,-2.99
Dessert Desperadoes,Ezekiel Elliott,5,14,12.34,7.8,RB,214.2,162,-4.54
Dessert Desperadoes,Ezekiel Elliott,6,16,10.09,15.6,RB,214.2,162,5.51
Dessert Desperadoes,Ezekiel Elliott,7,6,13.58,17.7,RB,214.2,162,4.12
Dessert Desperadoes,Ezekiel Elliott,8,25,0,0,RB,214.2,162,0
Dessert Desperadoes,Ezekiel Elliott,9,0,0,0,RB,214.2,162,0
Dessert Desperadoes,Ezekiel Elliott,10,22,0,0,RB,214.2,162,0
Dessert Desperadoes,Ezekiel Elliott,11,21,10.49,17.7,RB,214.2,162,7.21
Dessert Desperadoes,Ezekiel Elliott,12,17,11.53,16.5,RB,214.2,162,4.97
Dessert Desperadoes,Michael Pittman Jr.,1,4,14.88,27.1,WR,236.16,180.5,12.22
Dessert Desperadoes,Michael Pittman Jr.,2,23,0,0,WR,236.16,180.5,0
Dessert Desperadoes,Michael Pittman Jr.,3,29,15.24,15.2,WR,236.16,180.5,-0.04
Dessert Desperadoes,Michael Pittman Jr.,4,32,15.04,6.1,WR,236.16,180.5,-8.94
Dessert Desperadoes,Michael Pittman Jr.,5,1,14.95,10.9,WR,236.16,180.5,-4.05
Dessert Desperadoes,Michael Pittman Jr.,6,23,14.37,26.4,WR,236.16,180.5,12.03
Dessert Desperadoes,Michael Pittman Jr.,7,32,15.25,9.8,WR,236.16,180.5,-5.45
Dessert Desperadoes,Michael Pittman Jr.,8,15,12.22,12.3,WR,236.16,180.5,0.08
Dessert Desperadoes,Michael Pittman Jr.,9,9,13.42,5.2,WR,236.16,180.5,-8.22
Dessert Desperadoes,Michael Pittman Jr.,10,17,14.1,12.3,WR,236.16,180.5,-1.8
Dessert Desperadoes,Michael Pittman Jr.,11,6,13.83,13.5,WR,236.16,180.5,-0.33
Dessert Desperadoes,Michael Pittman Jr.,12,28,13.54,19.1,WR,236.16,180.5,5.56
Dessert Desperadoes,Justin Herbert,1,28,20.79,23.26,QB,328.04,240.26,2.47
Dessert Desperadoes,Justin Herbert,2,29,21.39,23.46,QB,328.04,240.26,2.07
Dessert Desperadoes,Justin Herbert,3,27,20.24,12.58,QB,328.04,240.26,-7.66
Dessert Desperadoes,Justin Herbert,4,5,19.46,21.1,QB,328.04,240.26,1.64
Dessert Desperadoes,Justin Herbert,5,10,21.6,14.42,QB,328.04,240.26,-7.18
Dessert Desperadoes,Justin Herbert,6,1,18.09,8.42,QB,328.04,240.26,-9.67
Dessert Desperadoes,Justin Herbert,7,18,21.25,18.12,QB,328.04,240.26,-3.13
Dessert Desperadoes,Justin Herbert,8,0,0,0,QB,328.04,240.26,0
Dessert Desperadoes,Justin Herbert,9,23,21.06,12.1,QB,328.04,240.26,-8.96
Dessert Desperadoes,Justin Herbert,10,3,17.95,12.04,QB,328.04,240.26,-5.91
Dessert Desperadoes,Justin Herbert,11,29,19.45,19.7,QB,328.04,240.26,0.25
Dessert Desperadoes,Justin Herbert,12,25,17.87,28.76,QB,328.04,240.26,10.89
Dessert Desperadoes,Amon-Ra St. Brown,1,6,13.13,20.4,WR,208.86,231.9,7.27
Dessert Desperadoes,Amon-Ra St. Brown,2,15,13.49,39.4,WR,208.86,231.9,25.91
Dessert Desperadoes,Amon-Ra St. Brown,3,31,17.7,13.3,WR,208.86,231.9,-4.4
Dessert Desperadoes,Amon-Ra St. Brown,4,3,0,0,WR,208.86,231.9,0
Dessert Desperadoes,Amon-Ra St. Brown,5,9,17.88,5.8,WR,208.86,231.9,-12.08
Dessert Desperadoes,Amon-Ra St. Brown,6,0,0,0,WR,208.86,231.9,0
Dessert Desperadoes,Amon-Ra St. Brown,7,24,17.21,1.4,WR,208.86,231.9,-15.81
Dessert Desperadoes,Amon-Ra St. Brown,8,18,16.69,13.9,WR,208.86,231.9,-2.79
Dessert Desperadoes,Amon-Ra St. Brown,9,5,15.56,9.5,WR,208.86,231.9,-6.06
Dessert Desperadoes,Amon-Ra St. Brown,10,16,15.95,22.1,WR,208.86,231.9,6.15
Dessert Desperadoes,Amon-Ra St. Brown,11,12,15.45,15,WR,208.86,231.9,-0.45
Dessert Desperadoes,Amon-Ra St. Brown,12,22,16.49,27.9,WR,208.86,231.9,11.41
Dessert Desperadoes,Bills D/ST,1,32,5.1,18,D/ST,143.85,108,12.9
Dessert Desperadoes,Bills D/ST,2,22,6.12,22,D/ST,143.85,108,15.88
Dessert Desperadoes,Bills D/ST,3,7,4.63,6,D/ST,143.85,108,1.37
Dessert Desperadoes,Bills D/ST,4,11,3.78,8,D/ST,143.85,108,4.22
Dessert Desperadoes,Bills D/ST,5,21,8.38,10,D/ST,143.85,108,1.62
Dessert Desperadoes,Bills D/ST,6,1,3.01,6,D/ST,143.85,108,2.99
Dessert Desperadoes,Bills D/ST,7,0,0,0,D/ST,143.85,108,0
Dessert Desperadoes,Bills D/ST,8,20,6.25,4,D/ST,143.85,108,-2.25
Dessert Desperadoes,Bills D/ST,9,19,6.83,4,D/ST,143.85,108,-2.83
Dessert Desperadoes,Bills D/ST,10,15,5.15,3,D/ST,143.85,108,-2.15
Dessert Desperadoes,Bills D/ST,11,14,4.76,4,D/ST,143.85,108,-0.76
Dessert Desperadoes,Bills D/ST,12,5,5.09,8,D/ST,143.85,108,2.91
Dessert Desperadoes,AJ Dillon,1,21,10.63,20.1,RB,168.75,141.4,9.47
Dessert Desperadoes,AJ Dillon,2,25,12.39,7.7,RB,168.75,141.4,-4.69
Dessert Desperadoes,AJ Dillon,3,4,12.55,5.8,RB,168.75,141.4,-6.75
Dessert Desperadoes,AJ Dillon,4,2,12.83,9.4,RB,168.75,141.4,-3.43
Dessert Desperadoes,AJ Dillon,5,17,12.43,3.4,RB,168.75,141.4,-9.03
Dessert Desperadoes,AJ Dillon,6,9,10.07,9.2,RB,168.75,141.4,-0.87
Dessert Desperadoes,AJ Dillon,7,5,10.81,1.5,RB,168.75,141.4,-9.31
Dessert Desperadoes,AJ Dillon,8,12,6.4,7.3,RB,168.75,141.4,0.9
Dessert Desperadoes,AJ Dillon,9,6,8.06,6.4,RB,168.75,141.4,-1.66
Dessert Desperadoes,AJ Dillon,10,3,8.14,6.5,RB,168.75,141.4,-1.64
Dessert Desperadoes,AJ Dillon,11,8,7.44,3.3,RB,168.75,141.4,-4.14
Dessert Desperadoes,AJ Dillon,12,16,6.78,17.8,RB,168.75,141.4,11.02
Dessert Desperadoes,Christian Kirk,1,15,12.81,17.7,WR,200.01,210.3,4.89
Dessert Desperadoes,Christian Kirk,2,7,12.61,25.8,WR,200.01,210.3,13.19
Dessert Desperadoes,Christian Kirk,3,8,13.98,19.2,WR,200.01,210.3,5.22
Dessert Desperadoes,Christian Kirk,4,6,15.62,8.3,WR,200.01,210.3,-7.32
Dessert Desperadoes,Christian Kirk,5,4,15.95,2.1,WR,200.01,210.3,-13.85
Dessert Desperadoes,Christian Kirk,6,7,13.52,10.8,WR,200.01,210.3,-2.72
Dessert Desperadoes,Christian Kirk,7,12,12.65,17.1,WR,200.01,210.3,4.45
Dessert Desperadoes,Christian Kirk,8,1,12.09,7,WR,200.01,210.3,-5.09
Dessert Desperadoes,Christian Kirk,9,17,13.42,21.6,WR,200.01,210.3,8.18
Dessert Desperadoes,Christian Kirk,10,29,14.23,31.5,WR,200.01,210.3,17.27
Dessert Desperadoes,Christian Kirk,11,0,0,0,WR,200.01,210.3,0
Dessert Desperadoes,Christian Kirk,12,26,14,8.1,WR,200.01,210.3,-5.9
Dessert Desperadoes,Pat Freiermuth,1,19,9.45,12.5,TE,144.17,128,3.05
Dessert Desperadoes,Pat Freiermuth,2,22,9.76,12.2,TE,144.17,128,2.44
Dessert Desperadoes,Pat Freiermuth,3,6,11.64,6.1,TE,144.17,128,-5.54
Dessert Desperadoes,Pat Freiermuth,4,17,10.3,15.5,TE,144.17,128,5.2
Dessert Desperadoes,Pat Freiermuth,5,4,11.42,3.2,TE,144.17,128,-8.22
Dessert Desperadoes,Pat Freiermuth,6,26,0,0,TE,144.17,128,0
Dessert Desperadoes,Pat Freiermuth,7,30,10.84,15.5,TE,144.17,128,4.66
Dessert Desperadoes,Pat Freiermuth,8,9,11.28,9.7,TE,144.17,128,-1.58
Dessert Desperadoes,Pat Freiermuth,9,0,0,0,TE,144.17,128,0
Dessert Desperadoes,Pat Freiermuth,10,2,11.48,7.6,TE,144.17,128,-3.88
Dessert Desperadoes,Pat Freiermuth,11,19,12,15.9,TE,144.17,128,3.9
Dessert Desperadoes,Pat Freiermuth,12,14,12.35,6.9,TE,144.17,128,-5.45
Dessert Desperadoes,James Cook,1,14,6.34,-1.8,RB,126.71,80.8,-8.14
Hot Chubb Time  Machine 2,James Cook,12,23,8.41,11.9,RB,126.71,80.8,3.49
Dessert Desperadoes,Kadarius Toney,1,14,12.17,2.3,WR,186.18,28,-9.87
Dessert Desperadoes,Kadarius Toney,2,8,7.47,2,WR,186.18,28,-5.47
3 PP Wine,Kadarius Toney,8,1,0,0,WR,186.18,28,0
3 PP Wine,Kadarius Toney,9,4,6.22,1.5,WR,186.18,28,-4.72
3 PP Wine,Kadarius Toney,10,14,12.17,2.3,WR,186.18,28,-9.87
3 PP Wine,Kadarius Toney,11,8,7.47,2,WR,186.18,28,-5.47
3 PP Wine,Kadarius Toney,12,0,0,0,WR,186.18,28,0
Dessert Desperadoes,Nick Folk,1,9,8.32,1,K,141.25,130,-7.32
Dessert Desperadoes,Nick Folk,2,26,7.97,4,K,141.25,130,-3.97
Corduroy Patterson,Nick Folk,7,13,7.42,2,K,141.25,130,-5.42
Corduroy Patterson,Nick Folk,8,32,6.94,15,K,141.25,130,8.06
Corduroy Patterson,Nick Folk,9,3,8.02,3,K,141.25,130,-5.02
Corduroy Patterson,Nick Folk,10,22,8.08,11,K,141.25,130,2.92
Corduroy Patterson,Nick Folk,11,17,8.05,13,K,141.25,130,4.95
Corduroy Patterson,Nick Folk,12,9,8.32,1,K,141.25,130,-7.32
Dessert Desperadoes,Jakobi Meyers,1,18,10.64,10.2,WR,173.92,130.9,-0.44
Dessert Desperadoes,Jakobi Meyers,2,28,11.08,18.5,WR,173.92,130.9,7.42
Dessert Desperadoes,Jakobi Meyers,3,26,0,0,WR,173.92,130.9,0
Dessert Desperadoes,Jakobi Meyers,4,5,0,0,WR,173.92,130.9,0
Dessert Desperadoes,Jakobi Meyers,5,30,10.04,24.1,WR,173.92,130.9,14.06
Dessert Desperadoes,Jakobi Meyers,6,11,12.05,10,WR,173.92,130.9,-2.05
Dessert Desperadoes,Jakobi Meyers,7,16,11.61,11.4,WR,173.92,130.9,-0.21
Dessert Desperadoes,Jakobi Meyers,8,2,10.83,21,WR,173.92,130.9,10.17
Dessert Desperadoes,Jakobi Meyers,9,7,11.86,7.4,WR,173.92,130.9,-4.46
Dessert Desperadoes,Jakobi Meyers,10,0,0,0,WR,173.92,130.9,0
Dessert Desperadoes,Jakobi Meyers,11,2,11.96,9.2,WR,173.92,130.9,-2.76
Dessert Desperadoes,Jakobi Meyers,12,31,12.64,9.2,WR,173.92,130.9,-3.44
Dessert Desperadoes,Kenny Golladay,1,32,9.26,4.2,WR,146.8,9.1,-5.06
Dessert Desperadoes,Kenny Golladay,2,25,8.77,0,WR,146.8,9.1,-8.77
Dessert Desperadoes,Kenny Golladay,3,24,5.95,0,WR,146.8,9.1,-5.95
Dessert Desperadoes,Mark Ingram II,1,18,5.99,1.3,RB,92.47,50.1,-4.69
3 PP Wine,Mark Ingram II,2,4,11.14,6.1,RB,92.47,50.1,-5.04
Corduroy Patterson,Mark Ingram II,5,18,5.99,1.3,RB,92.47,50.1,-4.69
Corduroy Patterson,Mark Ingram II,6,4,11.14,6.1,RB,92.47,50.1,-5.04
Dessert Desperadoes,D'Onta Foreman,1,30,2.97,0.5,RB,68.17,98.2,-2.47
Dessert Desperadoes,D'Onta Foreman,2,17,3.04,0.9,RB,68.17,98.2,-2.14
Dessert Desperadoes,D'Onta Foreman,3,15,2.32,0,RB,68.17,98.2,-2.32
Dessert Desperadoes,D'Onta Foreman,4,26,1.11,0.2,RB,68.17,98.2,-0.91
Dessert Desperadoes,D'Onta Foreman,5,1,0.76,0.2,RB,68.17,98.2,-0.56
Dessert Desperadoes,D'Onta Foreman,6,14,0.75,1.9,RB,68.17,98.2,1.15
Dessert Desperadoes,D'Onta Foreman,7,4,8.16,16.5,RB,68.17,98.2,8.34
Dessert Desperadoes,D'Onta Foreman,8,18,12.12,31.8,RB,68.17,98.2,19.68
Dessert Desperadoes,D'Onta Foreman,9,10,13.03,4.1,RB,68.17,98.2,-8.93
Dessert Desperadoes,D'Onta Foreman,10,18,11.71,19,RB,68.17,98.2,7.29
Dessert Desperadoes,D'Onta Foreman,11,7,12.19,2.4,RB,68.17,98.2,-9.79
Dessert Desperadoes,D'Onta Foreman,12,13,11.49,11.3,RB,68.17,98.2,-0.19
Deshaunorable Discharge,Joe Mixon,1,11,17.3,21.5,RB,258.91,203.9,4.2
Deshaunorable Discharge,Joe Mixon,2,3,16.55,11.3,RB,258.91,203.9,-5.25
Deshaunorable Discharge,Joe Mixon,3,9,17.89,6.8,RB,258.91,203.9,-11.09
Deshaunorable Discharge,Joe Mixon,4,23,17.24,17.4,RB,258.91,203.9,0.16
Deshaunorable Discharge,Joe Mixon,5,7,17.73,11.8,RB,258.91,203.9,-5.93
Deshaunorable Discharge,Joe Mixon,6,15,16.52,16.8,RB,258.91,203.9,0.28
Deshaunorable Discharge,Joe Mixon,7,18,17.24,18.1,RB,258.91,203.9,0.86
Deshaunorable Discharge,Joe Mixon,8,30,18.32,12.9,RB,258.91,203.9,-5.42
Deshaunorable Discharge,Joe Mixon,9,19,18.19,55.1,RB,258.91,203.9,36.91
Deshaunorable Discharge,Joe Mixon,10,0,0,0,RB,258.91,203.9,0
Deshaunorable Discharge,Joe Mixon,11,11,19.79,9.2,RB,258.91,203.9,-10.59
Deshaunorable Discharge,Joe Mixon,12,8,0,0,RB,258.91,203.9,0
Deshaunorable Discharge,Leonard Fournette,1,3,17.16,15.7,RB,258.74,190.8,-1.46
Deshaunorable Discharge,Leonard Fournette,2,15,17.32,9.4,RB,258.74,190.8,-7.92
Deshaunorable Discharge,Leonard Fournette,3,22,17.59,12,RB,258.74,190.8,-5.59
Deshaunorable Discharge,Leonard Fournette,4,20,17.54,18.4,RB,258.74,190.8,0.86
Deshaunorable Discharge,Leonard Fournette,5,18,15.79,35.9,RB,258.74,190.8,20.11
Deshaunorable Discharge,Leonard Fournette,6,11,17,22.1,RB,258.74,190.8,5.1
Deshaunorable Discharge,Leonard Fournette,7,19,17.05,4.6,RB,258.74,190.8,-12.45
Deshaunorable Discharge,Leonard Fournette,8,7,14.57,14.8,RB,258.74,190.8,0.23
Deshaunorable Discharge,Leonard Fournette,9,14,13.27,11,RB,258.74,190.8,-2.27
Deshaunorable Discharge,Leonard Fournette,10,31,13.62,10.8,RB,258.74,190.8,-2.82
Deshaunorable Discharge,Leonard Fournette,11,0,0,0,RB,258.74,190.8,0
Deshaunorable Discharge,Leonard Fournette,12,30,0,0,RB,258.74,190.8,0
Deshaunorable Discharge,A.J. Brown,1,30,14.4,25.5,WR,220.85,250.1,11.1
Deshaunorable Discharge,A.J. Brown,2,31,14.98,11.9,WR,220.85,250.1,-3.08
Deshaunorable Discharge,A.J. Brown,3,15,16.33,19.5,WR,220.85,250.1,3.17
Deshaunorable Discharge,A.J. Brown,4,23,17.37,14.5,WR,220.85,250.1,-2.87
Deshaunorable Discharge,A.J. Brown,5,14,16.95,6.2,WR,220.85,250.1,-10.75
Deshaunorable Discharge,A.J. Brown,6,24,15.26,17.7,WR,220.85,250.1,2.44
Deshaunorable Discharge,A.J. Brown,7,0,0,0,WR,220.85,250.1,0
Deshaunorable Discharge,A.J. Brown,8,28,16.22,39.6,WR,220.85,250.1,23.38
Deshaunorable Discharge,A.J. Brown,9,4,17.85,15.9,WR,220.85,250.1,-1.95
Deshaunorable Discharge,A.J. Brown,10,15,16.8,1.7,WR,220.85,250.1,-15.1
Deshaunorable Discharge,A.J. Brown,11,7,15.21,9,WR,220.85,250.1,-6.21
Deshaunorable Discharge,A.J. Brown,12,5,15.75,12.6,WR,220.85,250.1,-3.15
Deshaunorable Discharge,Jaylen Waddle,1,9,13.5,17.7,WR,218.23,215.4,4.2
Deshaunorable Discharge,Jaylen Waddle,2,26,13.17,40.1,WR,218.23,215.4,26.93
Deshaunorable Discharge,Jaylen Waddle,3,22,16.71,15.1,WR,218.23,215.4,-1.61
Deshaunorable Discharge,Jaylen Waddle,4,10,18.33,5.9,WR,218.23,215.4,-12.43
Deshaunorable Discharge,Jaylen Waddle,5,2,15.26,5.3,WR,218.23,215.4,-9.96
Deshaunorable Discharge,Jaylen Waddle,6,31,12.89,16.9,WR,218.23,215.4,4.01
Deshaunorable Discharge,Jaylen Waddle,7,28,15.15,12.8,WR,218.23,215.4,-2.35
Deshaunorable Discharge,Jaylen Waddle,8,30,15.74,30.6,WR,218.23,215.4,14.86
Deshaunorable Discharge,Jaylen Waddle,9,16,15.41,19.5,WR,218.23,215.4,4.09
Deshaunorable Discharge,Jaylen Waddle,10,11,15.65,10.6,WR,218.23,215.4,-5.05
Deshaunorable Discharge,Jaylen Waddle,11,0,0,0,WR,218.23,215.4,0
Deshaunorable Discharge,Jaylen Waddle,12,4,14.84,13.5,WR,218.23,215.4,-1.34
Deshaunorable Discharge,Damien Harris,1,23,10.97,7.8,RB,174.55,76.8,-3.17
Deshaunorable Discharge,Damien Harris,2,11,11.12,16.7,RB,174.55,76.8,5.58
Deshaunorable Discharge,Damien Harris,3,7,12.04,12.6,RB,174.55,76.8,0.56
Deshaunorable Discharge,Damien Harris,4,22,11.16,15.4,RB,174.55,76.8,4.24
Deshaunorable Discharge,Damien Harris,5,6,13.37,2.2,RB,174.55,76.8,-11.17
Deshaunorable Discharge,Damien Harris,6,30,0,0,RB,174.55,76.8,0
Deshaunorable Discharge,Damien Harris,7,25,11.58,2,RB,174.55,76.8,-9.58
Deshaunorable Discharge,Damien Harris,8,9,8.49,7.2,RB,174.55,76.8,-1.29
Deshaunorable Discharge,Damien Harris,9,28,0,0,RB,174.55,76.8,0
Deshaunorable Discharge,Damien Harris,10,0,0,0,RB,174.55,76.8,0
Deshaunorable Discharge,Damien Harris,11,9,8.03,11.3,RB,174.55,76.8,3.27
Deshaunorable Discharge,Damien Harris,12,21,8.12,1.6,RB,174.55,76.8,-6.52
Deshaunorable Discharge,Gabe Davis,1,21,12.31,18.8,WR,207.23,153.2,6.49
Deshaunorable Discharge,Gabe Davis,2,32,0,0,WR,207.23,153.2,0
Deshaunorable Discharge,Gabe Davis,3,18,13.73,6.7,WR,207.23,153.2,-7.03
Deshaunorable Discharge,Gabe Davis,4,26,12.77,2.3,WR,207.23,153.2,-10.47
Deshaunorable Discharge,Gabe Davis,5,28,12.49,32.1,WR,207.23,153.2,19.61
Deshaunorable Discharge,Gabe Davis,6,29,13.31,16.4,WR,207.23,153.2,3.09
Deshaunorable Discharge,Gabe Davis,7,0,0,0,WR,207.23,153.2,0
Deshaunorable Discharge,Gabe Davis,8,5,11.74,5.5,WR,207.23,153.2,-6.24
Deshaunorable Discharge,Gabe Davis,9,2,12.76,5.3,WR,207.23,153.2,-7.46
Deshaunorable Discharge,Gabe Davis,10,31,12.03,21.3,WR,207.23,153.2,9.27
Deshaunorable Discharge,Gabe Davis,11,11,12.71,11.8,WR,207.23,153.2,-0.91
Deshaunorable Discharge,Gabe Davis,12,30,13.66,7.8,WR,207.23,153.2,-5.86
Deshaunorable Discharge,Joe Burrow,1,21,18.11,18.22,QB,294.45,315.6,0.11
Deshaunorable Discharge,Joe Burrow,2,6,17.88,16.56,QB,294.45,315.6,-1.32
Deshaunorable Discharge,Joe Burrow,3,8,18.35,23,QB,294.45,315.6,4.65
Deshaunorable Discharge,Joe Burrow,4,31,18.36,20.08,QB,294.45,315.6,1.72
Deshaunorable Discharge,Joe Burrow,5,15,19.68,17.28,QB,294.45,315.6,-2.4
Deshaunorable Discharge,Joe Burrow,6,17,17.33,32.5,QB,294.45,315.6,15.17
Deshaunorable Discharge,Joe Burrow,7,23,19.75,39.24,QB,294.45,315.6,19.49
Deshaunorable Discharge,Joe Burrow,8,10,21.63,13.48,QB,294.45,315.6,-8.15
Deshaunorable Discharge,Joe Burrow,9,13,19.68,19.14,QB,294.45,315.6,-0.54
Deshaunorable Discharge,Joe Burrow,10,0,0,0,QB,294.45,315.6,0
Deshaunorable Discharge,Joe Burrow,11,21,19.84,26.7,QB,294.45,315.6,6.86
Deshaunorable Discharge,Joe Burrow,12,30,19.59,18,QB,294.45,315.6,-1.59
Deshaunorable Discharge,Zach Ertz,1,16,10.04,11.4,TE,148.18,115.6,1.36
Deshaunorable Discharge,Zach Ertz,2,24,8.87,15.5,TE,148.18,115.6,6.63
Deshaunorable Discharge,Zach Ertz,3,12,10.15,10.5,TE,148.18,115.6,0.35
Deshaunorable Discharge,Zach Ertz,4,7,10.42,16.7,TE,148.18,115.6,6.28
Deshaunorable Discharge,Zach Ertz,5,9,11.05,10.8,TE,148.18,115.6,-0.25
Deshaunorable Discharge,Zach Ertz,6,31,12.48,14,TE,148.18,115.6,1.52
Deshaunorable Discharge,Zach Ertz,7,2,12.26,6.1,TE,148.18,115.6,-6.16
Deshaunorable Discharge,Zach Ertz,8,18,11.73,13.4,TE,148.18,115.6,1.67
Deshaunorable Discharge,Zach Ertz,9,31,10.82,15,TE,148.18,115.6,4.18
Deshaunorable Discharge,Zach Ertz,10,12,10.79,2.2,TE,148.18,115.6,-8.59
Deshaunorable Discharge,Zach Ertz,11,8,0,0,TE,148.18,115.6,0
Deshaunorable Discharge,Elijah Moore,1,26,12.79,9.9,WR,198.34,78.7,-2.89
Deshaunorable Discharge,Elijah Moore,2,11,11.35,6.5,WR,198.34,78.7,-4.85
Deshaunorable Discharge,Elijah Moore,3,10,11.3,8.9,WR,198.34,78.7,-2.4
Deshaunorable Discharge,Elijah Moore,4,28,11.29,8.5,WR,198.34,78.7,-2.79
Deshaunorable Discharge,Elijah Moore,5,18,11.27,2.1,WR,198.34,78.7,-9.17
Dakcidental  Thumblers ,Elijah Moore,6,5,10.5,0,WR,198.34,78.7,-10.5
Dakcidental  Thumblers ,Elijah Moore,7,1,0,0,WR,198.34,78.7,0
Dakcidental  Thumblers ,Elijah Moore,8,9,8.5,0,WR,198.34,78.7,-8.5
Deshaunorable Discharge,James Robinson,1,7,8.56,19.9,RB,151.13,88.6,11.34
Deshaunorable Discharge,James Robinson,2,30,11.39,15.8,RB,151.13,88.6,4.41
